ref,line_index
Noam Yerushalmi on Avodah Zarah 1:3:2:1,6
Noam Yerushalmi on Avodah Zarah 1:3:2:2,7
Noam Yerushalmi on Avodah Zarah 1:4:2:1,10
Noam Yerushalmi on Avodah Zarah 1:4:2:2,11
Noam Yerushalmi on Avodah Zarah 1:4:2:3,12
Noam Yerushalmi on Avodah Zarah 1:5:4:1,15
Noam Yerushalmi on Avodah Zarah 1:5:5:1,17
Noam Yerushalmi on Avodah Zarah 1:6:5:1,20
Noam Yerushalmi on Avodah Zarah 1:7:3:1,23
Noam Yerushalmi on Avodah Zarah 2:3:15:1,27
Noam Yerushalmi on Avodah Zarah 2:3:15:2,28
Noam Yerushalmi on Avodah Zarah 2:3:16:1,30
Noam Yerushalmi on Avodah Zarah 2:9:2:1,33
Noam Yerushalmi on Avodah Zarah 2:9:2:2,34
Noam Yerushalmi on Avodah Zarah 2:9:2:3,35
Noam Yerushalmi on Avodah Zarah 3:3:6:1,39
Noam Yerushalmi on Avodah Zarah 3:3:6:2,40
Noam Yerushalmi on Avodah Zarah 3:3:6:3,41
Noam Yerushalmi on Avodah Zarah 3:3:6:4,42
Noam Yerushalmi on Avodah Zarah 3:3:6:5,43
Noam Yerushalmi on Avodah Zarah 3:3:6:6,44
Noam Yerushalmi on Avodah Zarah 3:5:2:1,47
Noam Yerushalmi on Avodah Zarah 3:5:2:2,48
Noam Yerushalmi on Avodah Zarah 3:5:4:1,50
Noam Yerushalmi on Avodah Zarah 3:5:5:1,52
Noam Yerushalmi on Avodah Zarah 3:5:5:2,53
Noam Yerushalmi on Avodah Zarah 3:5:5:3,54
Noam Yerushalmi on Avodah Zarah 3:5:5:4,55
Noam Yerushalmi on Avodah Zarah 3:5:5:5,56
Noam Yerushalmi on Avodah Zarah 3:5:5:6,57
Noam Yerushalmi on Avodah Zarah 3:5:5:7,58
Noam Yerushalmi on Avodah Zarah 3:5:8:1,60
Noam Yerushalmi on Avodah Zarah 3:5:8:2,61
Noam Yerushalmi on Avodah Zarah 3:5:8:3,62
Noam Yerushalmi on Avodah Zarah 3:5:8:4,63
Noam Yerushalmi on Avodah Zarah 3:5:8:5,64
Noam Yerushalmi on Avodah Zarah 3:5:8:6,65
Noam Yerushalmi on Avodah Zarah 3:5:8:7,66
Noam Yerushalmi on Avodah Zarah 3:6:2:1,69
Noam Yerushalmi on Avodah Zarah 3:6:4:1,71
Noam Yerushalmi on Avodah Zarah 3:6:4:2,72
Noam Yerushalmi on Avodah Zarah 3:6:4:3,73
Noam Yerushalmi on Avodah Zarah 3:6:6:1,75
Noam Yerushalmi on Avodah Zarah 3:7:2:1,78
Noam Yerushalmi on Avodah Zarah 3:8:2:1,81
Noam Yerushalmi on Avodah Zarah 3:12:2:1,84
Noam Yerushalmi on Avodah Zarah 4:1:3:1,88
Noam Yerushalmi on Avodah Zarah 4:1:3:2,89
Noam Yerushalmi on Avodah Zarah 4:1:3:3,90
Noam Yerushalmi on Avodah Zarah 4:1:5:1,92
Noam Yerushalmi on Avodah Zarah 4:1:8:1,94
Noam Yerushalmi on Avodah Zarah 4:1:8:2,95
Noam Yerushalmi on Avodah Zarah 4:1:8:3,96
Noam Yerushalmi on Avodah Zarah 4:2:2:1,99
Noam Yerushalmi on Avodah Zarah 4:4:7:1,102
Noam Yerushalmi on Avodah Zarah 4:4:7:2,103
Noam Yerushalmi on Avodah Zarah 4:4:7:3,104
Noam Yerushalmi on Avodah Zarah 4:4:8:1,106
Noam Yerushalmi on Avodah Zarah 4:4:8:2,107
Noam Yerushalmi on Avodah Zarah 4:8:2:1,110
Noam Yerushalmi on Avodah Zarah 4:8:4:1,112
Noam Yerushalmi on Avodah Zarah 4:8:4:2,113
Noam Yerushalmi on Avodah Zarah 4:8:4:3,114
Noam Yerushalmi on Avodah Zarah 4:8:4:4,115
Noam Yerushalmi on Avodah Zarah 4:8:6:1,117
Noam Yerushalmi on Avodah Zarah 4:8:6:2,118
Noam Yerushalmi on Avodah Zarah 4:9:2:1,121
Noam Yerushalmi on Avodah Zarah 4:9:2:2,122
Noam Yerushalmi on Avodah Zarah 4:9:2:3,123
Noam Yerushalmi on Avodah Zarah 4:9:2:4,124
Noam Yerushalmi on Avodah Zarah 4:9:2:5,125
Noam Yerushalmi on Avodah Zarah 4:9:2:6,126
Noam Yerushalmi on Avodah Zarah 5:1:5:1,130
Noam Yerushalmi on Avodah Zarah 5:1:7:1,132
Noam Yerushalmi on Avodah Zarah 5:1:7:2,133
Noam Yerushalmi on Avodah Zarah 5:1:7:3,134
Noam Yerushalmi on Avodah Zarah 5:1:7:4,135
Noam Yerushalmi on Avodah Zarah 5:1:7:5,136
Noam Yerushalmi on Avodah Zarah 5:1:8:1,138
Noam Yerushalmi on Avodah Zarah 5:3:3:1,141
Noam Yerushalmi on Avodah Zarah 5:3:3:2,142
Noam Yerushalmi on Avodah Zarah 5:3:3:3,143
Noam Yerushalmi on Avodah Zarah 5:3:4:1,145
Noam Yerushalmi on Avodah Zarah 5:8:2:1,148
Noam Yerushalmi on Avodah Zarah 5:8:3:1,150
Noam Yerushalmi on Avodah Zarah 5:8:3:2,151
Noam Yerushalmi on Avodah Zarah 5:8:3:3,152
Noam Yerushalmi on Avodah Zarah 5:8:3:4,153
Noam Yerushalmi on Avodah Zarah 5:8:3:5,154
Noam Yerushalmi on Avodah Zarah 5:8:3:6,155
Noam Yerushalmi on Avodah Zarah 5:8:3:7,156
Noam Yerushalmi on Avodah Zarah 5:8:3:8,157
Noam Yerushalmi on Avodah Zarah 5:9:2:1,160
Noam Yerushalmi on Avodah Zarah 5:10:2:1,163
Noam Yerushalmi on Avodah Zarah 5:11:2:1,166
Noam Yerushalmi on Avodah Zarah 5:12:11:1,169
Noam Yerushalmi on Avodah Zarah 5:13:2:1,172
Noam Yerushalmi on Avodah Zarah 5:13:2:2,173
Noam Yerushalmi on Avodah Zarah 5:13:2:3,174
Noam Yerushalmi on Avodah Zarah 5:13:2:4,175
Noam Yerushalmi on Avodah Zarah 5:13:2:5,176
Noam Yerushalmi on Avodah Zarah 5:15:2:1,179
Noam Yerushalmi on Avodah Zarah 5:15:2:2,180
Noam Yerushalmi on Avodah Zarah 5:15:2:3,181
Noam Yerushalmi on Avodah Zarah 5:15:2:4,182
Noam Yerushalmi on Avodah Zarah 5:15:2:5,183
