ref,line_index
Noam Yerushalmi on Shevuot 1:1:2:1,6
Noam Yerushalmi on Shevuot 1:1:3:1,8
Noam Yerushalmi on Shevuot 1:3:2:1,11
Noam Yerushalmi on Shevuot 1:3:2:2,12
Noam Yerushalmi on Shevuot 1:3:2:3,13
Noam Yerushalmi on Shevuot 1:3:2:4,14
Noam Yerushalmi on Shevuot 1:3:2:5,15
Noam Yerushalmi on Shevuot 1:3:2:6,16
Noam Yerushalmi on Shevuot 1:3:2:7,17
Noam Yerushalmi on Shevuot 1:3:2:8,18
Noam Yerushalmi on Shevuot 1:3:2:9,19
Noam Yerushalmi on Shevuot 1:4:2:1,22
Noam Yerushalmi on Shevuot 1:4:2:2,23
Noam Yerushalmi on Shevuot 1:4:2:3,24
Noam Yerushalmi on Shevuot 1:4:3:1,26
Noam Yerushalmi on Shevuot 1:4:3:2,27
Noam Yerushalmi on Shevuot 1:4:3:3,28
Noam Yerushalmi on Shevuot 1:4:3:4,29
Noam Yerushalmi on Shevuot 1:4:3:5,30
Noam Yerushalmi on Shevuot 1:4:5:1,32
Noam Yerushalmi on Shevuot 1:4:5:2,33
Noam Yerushalmi on Shevuot 1:4:5:3,34
Noam Yerushalmi on Shevuot 1:4:6:1,36
Noam Yerushalmi on Shevuot 1:6:4:1,39
Noam Yerushalmi on Shevuot 1:6:4:2,40
Noam Yerushalmi on Shevuot 1:6:4:3,41
Noam Yerushalmi on Shevuot 1:7:2:1,44
Noam Yerushalmi on Shevuot 1:7:2:2,45
Noam Yerushalmi on Shevuot 1:7:2:3,46
Noam Yerushalmi on Shevuot 1:7:3:1,48
Noam Yerushalmi on Shevuot 1:7:3:2,49
Noam Yerushalmi on Shevuot 1:7:3:3,50
Noam Yerushalmi on Shevuot 1:7:3:4,51
Noam Yerushalmi on Shevuot 1:7:3:5,52
Noam Yerushalmi on Shevuot 1:7:3:6,53
Noam Yerushalmi on Shevuot 1:7:3:7,54
Noam Yerushalmi on Shevuot 1:7:3:8,55
Noam Yerushalmi on Shevuot 1:7:3:9,56
Noam Yerushalmi on Shevuot 1:7:3:10,57
Noam Yerushalmi on Shevuot 1:7:3:11,58
Noam Yerushalmi on Shevuot 1:7:3:12,59
Noam Yerushalmi on Shevuot 1:7:3:13,60
Noam Yerushalmi on Shevuot 1:7:3:14,61
Noam Yerushalmi on Shevuot 2:1:2:1,65
Noam Yerushalmi on Shevuot 2:1:2:2,66
