ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:1:2:1,7
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:1:2:2,9
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:1:3:1,12
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:1:8:1,15
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:1:11:1,18
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:1:12:1,21
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:1:23:1,24
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:1:33:1,27
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:1:35:1,30
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:1:35:2,32
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:1:42:1,35
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:1:48:1,38
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:1:52:1,41
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:3:2:1,45
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:3:2:2,47
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:4:2:1,51
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:4:10:1,54
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:5:2:1,58
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:5:2:2,60
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:5:2:3,62
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:5:4:1,65
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 1:5:6:1,68
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 2:1:5:1,73
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 2:1:6:1,76
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 2:1:9:1,79
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 2:1:11:1,82
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 2:2:4:1,86
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 2:3:2:1,90
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 2:3:2:2,92
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 2:3:3:1,95
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 2:4:2:1,99
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 2:4:2:2,101
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 2:4:8:1,104
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 2:4:10:1,107
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 2:5:6:1,111
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 3:1:3:1,116
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 3:1:8:1,119
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 3:2:2:1,123
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 3:2:3:1,126
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 3:2:3:2,128
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 3:2:4:1,131
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 3:3:3:1,135
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 3:7:7:1,139
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 3:7:11:1,142
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 4:1:1:1,147
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 4:1:7:1,150
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 4:2:2:1,154
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 4:2:4:1,157
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 4:2:7:1,160
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 4:3:1:1,164
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 4:6:3:1,168
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 4:6:10:1,171
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 4:7:6:1,175
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 5:1:3:1,180
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 5:1:4:1,183
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 5:2:3:1,187
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 5:2:4:1,190
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 5:2:5:1,193
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 5:2:7:1,196
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 5:6:4:1,200
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 6:1:8:1,205
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 6:3:3:1,209
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 6:3:6:1,212
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 6:3:6:2,214
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 6:3:7:1,217
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 6:4:3:1,221
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 6:4:6:1,224
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 6:5:3:1,228
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 6:6:2:1,232
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 6:6:5:1,235
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 6:6:8:1,238
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 7:2:7:1,243
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 7:3:2:1,247
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 7:5:2:1,251
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 7:5:6:1,254
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 7:5:7:1,257
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 7:5:9:1,260
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 7:5:9:2,262
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 7:5:11:1,265
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 7:5:13:1,268
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 7:5:13:2,270
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 7:6:2:1,274
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 7:6:3:1,277
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 7:7:2:1,281
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 7:7:3:1,284
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Peah 7:7:3:2,286
