ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 1:2:2:1,7
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 1:4:2:1,11
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 1:5:4:1,15
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 1:5:5:1,18
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 1:6:3:1,22
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 1:6:4:1,25
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 2:1:2:1,30
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 2:1:2:2,32
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 2:2:7:1,36
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 2:3:2:1,40
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 2:5:3:1,44
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 2:5:4:1,47
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 2:5:8:1,50
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 2:5:9:1,53
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 3:3:3:1,58
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 3:4:5:1,62
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 3:4:6:1,65
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 3:7:3:1,69
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 3:7:4:1,72
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:2:2:1,77
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:2:5:1,80
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:2:9:1,83
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:3:2:1,87
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:4:2:1,91
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:4:3:1,94
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:6:2:1,98
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:6:5:1,101
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:6:5:2,103
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:6:6:1,106
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:7:1:1,110
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:7:2:1,113
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:8:2:1,117
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 4:8:4:1,120
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 5:1:4:1,125
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 5:1:5:1,128
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 5:2:4:1,132
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 5:2:6:1,135
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sheviit 5:2:9:1,138
