ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:1:3:1,7
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:1:5:1,10
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:1:8:1,13
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:1:8:2,15
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:1:9:1,18
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:1:11:1,21
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:3:3:1,25
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:3:3:2,27
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:3:5:1,30
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:3:5:2,32
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:4:2:1,36
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:4:2:2,38
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:5:2:1,42
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:6:3:1,46
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:7:2:1,50
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:7:2:2,52
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:7:3:1,55
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:8:3:1,59
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:9:3:1,63
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:9:3:2,65
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:9:3:3,67
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:9:3:4,69
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:9:3:5,71
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 1:10:5:1,75
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:1:2:1,80
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:1:4:1,83
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:1:6:1,86
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:4:2:1,90
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:4:3:1,93
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:4:4:1,96
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:5:3:1,100
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:5:4:1,103
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:6:2:1,107
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:7:2:1,111
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 2:8:2:1,115
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:1:3:1,120
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:2:4:1,124
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:2:5:1,127
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:3:2:1,131
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:4:2:1,135
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:4:3:1,138
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:5:2:1,142
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:5:2:2,144
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:6:6:1,148
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 3:8:2:1,152
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:1:2:1,157
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:1:3:1,160
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:2:2:1,164
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:3:2:1,168
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:3:5:1,171
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:3:8:1,174
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:3:11:1,177
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:4:4:1,181
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:4:4:2,183
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:4:4:3,185
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:5:2:1,189
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:5:3:1,192
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:5:5:1,195
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:6:2:1,199
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 4:7:3:1,203
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:1:2:1,208
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:1:6:1,211
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:1:7:1,214
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:1:7:2,216
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:4:1,220
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:5:1,223
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:6:1,226
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:6:2,228
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:6:3,230
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:10:1,233
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:10:2,235
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:11:1,238
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:2:12:1,241
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Beitzah 5:4:2:1,245
