ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:4:1,7
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:5:1,10
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:5:2,12
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:5:3,14
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:5:4,16
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:6:1,19
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:9:1,22
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:9:2,24
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:11:1,27
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:12:1,30
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:14:1,33
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:15:1,36
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:17:1,39
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:19:1,42
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:22:1,45
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:22:2,47
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:25:1,50
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:27:1,53
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:27:2,55
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:27:3,57
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:27:4,59
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:1:27:5,61
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:2:4:1,65
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:2:5:1,68
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:2:7:1,71
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:3:3:1,75
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:3:4:1,78
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:5:7:1,82
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:5:8:1,85
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:6:3:1,89
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 1:8:1:1,93
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 2:1:4:1,98
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 2:1:5:1,101
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 2:1:7:1,104
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 2:1:8:1,107
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 2:1:9:1,110
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 2:1:9:2,112
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 2:2:3:1,116
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 2:2:4:1,119
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 2:2:6:1,122
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 2:2:8:1,125
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 2:2:8:2,127
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 2:4:2:1,131
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 2:4:4:1,134
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 2:4:4:2,136
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 2:4:4:3,138
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 3:1:3:1,143
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 3:3:4:1,147
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Yoma 3:4:2:1,151
