ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:1:2:1,7
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:1:2:2,9
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:1:4:1,12
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:1:4:2,14
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:1:4:3,16
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:1:4:4,18
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:1:7:1,21
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:1:7:2,23
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:1:10:1,26
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:3:2:1,30
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:3:3:1,33
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:3:4:1,36
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:4:2:1,40
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:4:14:1,43
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:5:3:1,47
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:5:3:2,49
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:5:7:1,52
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:7:2:1,56
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:7:2:2,58
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:7:3:1,61
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:8:2:1,65
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:8:4:1,68
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:9:3:1,72
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Megillah 1:9:4:1,75
