ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 1:1:2:1,7
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 1:1:8:1,10
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 1:1:8:2,12
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 1:1:8:3,14
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 1:1:10:1,17
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 1:1:10:2,19
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 1:1:11:1,22
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 1:1:12:1,25
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 1:1:13:1,28
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 1:3:2:1,32
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 1:3:5:1,35
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 1:3:7:1,38
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 1:4:3:1,42
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 1:7:6:1,46
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 1:8:2:1,50
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 1:8:4:1,53
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 2:1:5:1,58
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 2:1:7:1,61
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 2:1:7:2,63
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 2:1:7:3,65
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 2:1:8:1,68
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 2:1:8:2,70
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 2:1:8:3,72
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 2:2:2:1,76
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 2:2:4:1,79
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 2:4:2:1,83
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 2:4:4:1,86
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 2:5:2:1,90
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 2:5:2:2,92
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 2:7:2:1,96
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 2:8:4:1,100
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 2:8:4:2,102
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 3:1:3:1,107
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 3:1:3:2,109
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 3:1:5:1,112
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 3:1:7:1,115
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 3:1:10:1,118
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 3:2:2:1,122
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 3:3:4:1,126
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 3:4:3:1,130
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 3:4:3:2,132
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 3:5:5:1,136
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 3:6:2:1,140
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 3:6:3:1,143
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 3:9:3:1,147
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 4:1:2:1,152
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 4:2:2:1,156
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 4:2:3:1,159
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 4:3:3:1,163
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 4:4:2:1,167
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 4:4:4:1,170
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 4:6:4:1,174
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 4:7:2:1,178
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 4:7:3:1,181
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 4:8:4:1,185
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 4:9:2:1,189
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 4:9:3:1,192
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 4:10:2:1,196
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Rosh Hashanah 4:10:4:1,199
