ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 1:1:2:1,7
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 1:1:3:1,10
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 1:1:13:1,13
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 1:1:14:1,16
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 1:1:16:1,19
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 1:2:2:1,23
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 1:2:3:1,26
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 1:2:4:1,29
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 1:3:8:1,33
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 1:4:8:1,37
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 1:6:10:1,41
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 1:7:2:1,45
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 1:8:3:1,49
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 1:8:3:2,51
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 2:1:6:1,56
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 2:1:12:1,59
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 2:1:12:2,61
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 2:1:17:1,64
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 2:2:2:1,68
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 2:8:2:1,72
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 2:11:4:1,76
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Taanit 2:12:2:1,80
