ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 1:1:2:1,7
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 1:1:2:2,9
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 1:3:3:1,13
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 1:4:2:1,17
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 1:5:3:1,21
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 1:5:4:1,24
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 1:5:5:1,27
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:1:2:1,32
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:1:4:1,35
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:2:2:1,39
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:3:5:1,43
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:5:2:1,47
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:6:2:1,51
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:8:2:1,55
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:10:2:1,59
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 2:11:2:1,63
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:1:2:1,68
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:1:3:1,71
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:1:4:1,74
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:1:6:1,77
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:3:4:1,81
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:3:5:1,84
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:3:8:1,87
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:3:8:2,89
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:4:2:1,93
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:4:2:2,95
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:5:2:1,99
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:5:3:1,102
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:5:6:1,105
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:7:2:1,109
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:8:4:1,113
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:9:2:1,117
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:10:3:1,121
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:10:4:1,124
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 3:10:4:2,126
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 4:1:3:1,131
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 4:2:2:1,135
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 4:2:3:1,138
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 4:4:2:1,142
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 4:5:2:1,146
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 4:8:4:1,150
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:1:3:1,155
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:1:3:2,157
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:1:6:1,160
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:2:2:1,164
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:3:2:1,168
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:4:2:1,172
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:5:2:1,176
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:5:2:2,178
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 5:5:2:3,180
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 6:1:2:1,185
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 6:1:4:1,188
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 6:1:5:1,191
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 6:1:7:1,194
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 6:1:7:2,196
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 6:2:3:1,200
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 6:4:2:1,204
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 7:1:2:1,209
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 7:1:2:2,211
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 7:1:2:3,213
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 7:2:2:1,217
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:1:2:1,222
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:1:5:1,225
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:2:3:1,229
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:2:5:1,232
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:4:2:1,236
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:4:3:1,239
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:4:4:1,242
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:4:4:2,244
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:5:2:1,248
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:5:2:2,250
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:8:2:1,254
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:8:2:2,256
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 8:8:5:1,259
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 9:1:2:1,264
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 9:1:4:1,267
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 9:1:5:1,270
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 9:1:7:1,273
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 9:2:2:1,277
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 9:3:2:1,281
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 9:3:3:1,284
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 9:3:3:2,286
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Batra 9:3:4:1,289
