ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 1:1:2:1,7
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 1:1:3:1,10
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 1:1:5:1,13
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 1:2:2:1,17
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 1:3:2:1,21
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 1:4:2:1,25
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 1:4:3:1,28
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 1:5:2:1,32
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 1:5:3:1,35
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 1:6:2:1,39
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 1:6:3:1,42
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 1:6:3:2,44
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 1:7:2:1,48
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 1:7:3:1,51
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 1:7:3:2,53
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 1:8:2:1,57
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 1:8:4:1,60
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 2:1:2:1,65
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 2:2:2:1,69
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 2:2:3:1,72
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 2:3:2:1,76
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 2:3:3:1,79
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 2:4:2:1,83
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 2:4:2:2,85
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 2:4:4:1,88
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 2:5:2:1,92
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 2:5:5:1,95
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 2:5:7:1,98
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 2:8:2:1,102
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 2:8:3:1,105
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 2:10:4:1,109
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 2:11:4:1,113
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 3:1:2:1,118
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 3:1:2:2,120
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Bava Metzia 3:1:3:1,123
