ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:1:3:1,7
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:1:7:1,10
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:1:7:2,12
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:1:8:1,15
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:2:1:1,19
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:2:2:1,22
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:2:3:1,25
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:2:4:1,28
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:2:5:1,31
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:2:7:1,34
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:3:2:1,38
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:3:2:2,40
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:3:3:1,43
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:5:2:1,47
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:5:2:2,49
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:6:2:1,53
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:8:3:1,57
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:8:4:1,60
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 1:8:5:1,63
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:2:2:1,68
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:2:2:2,70
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:3:2:1,74
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:3:3:1,77
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:4:2:1,81
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:5:2:1,85
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:5:3:1,88
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:6:2:1,92
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:7:2:1,96
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:7:2:2,98
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 2:7:3:1,101
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:1:2:1,106
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:2:1,110
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:3:1,113
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:4:1,116
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:5:1,119
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:7:1,122
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:10:1,125
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:14:1,128
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:17:1,131
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:17:2,133
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:2:35:1,136
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:3:3:1,140
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:4:2:1,144
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:4:2:2,146
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:4:4:1,149
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:4:8:1,152
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:5:7:1,156
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:5:8:1,159
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:5:9:1,162
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:5:12:1,165
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:5:12:2,167
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:5:12:3,169
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:5:13:1,172
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Horayot 3:5:15:1,175
