ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:1:2:1,7
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:1:4:1,10
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:1:7:1,13
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:1:9:1,16
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:1:13:1,19
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:1:23:1,22
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:1:26:1,25
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:1:26:2,27
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:7:1,31
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:7:2,33
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:8:1,36
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:11:1,39
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:13:1,42
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:16:1,45
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:16:2,47
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:16:3,49
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:21:1,52
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:29:1,55
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:33:1,58
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:44:1,61
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:46:1,64
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:2:47:1,67
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:3:3:1,71
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:3:4:1,74
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:3:5:1,77
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:3:6:1,80
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:3:6:2,82
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:3:9:1,85
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:3:10:1,88
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:4:3:1,92
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:4:3:2,94
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:4:7:1,97
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:4:9:1,100
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 1:4:10:1,103
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 2:1:3:1,108
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 2:1:5:1,111
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 2:1:6:1,114
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 2:3:2:1,118
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 2:3:5:1,121
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 2:3:8:1,124
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 2:3:9:1,127
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 2:3:9:2,129
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 2:4:2:1,133
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 2:4:4:1,136
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 2:6:12:1,140
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 2:6:14:1,143
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:1:2:1,148
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:1:2:2,150
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:2:2:1,154
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:2:3:1,157
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:2:3:2,159
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:4:3:1,163
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:5:5:1,167
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:6:2:1,171
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:6:9:1,174
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:6:10:1,177
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:8:7:1,181
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:8:8:1,184
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:9:5:1,188
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:9:16:1,191
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:9:19:1,194
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:9:19:2,196
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:9:22:1,199
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:9:23:1,202
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:9:23:2,204
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:9:24:1,207
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:10:2:1,211
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 3:12:2:1,215
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 4:1:1:1,220
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 4:1:2:1,223
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 4:1:4:1,226
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 4:3:2:1,230
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 4:4:2:1,234
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 4:6:2:1,238
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 4:7:2:1,242
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 4:7:5:1,245
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 4:7:6:1,248
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 4:8:2:1,252
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 5:1:4:1,257
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 5:1:6:1,260
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 5:1:11:1,263
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 5:2:3:1,267
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 5:3:2:1,271
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 5:4:3:1,275
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 5:5:2:1,279
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 5:5:6:1,282
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 6:1:2:1,287
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 6:1:3:1,290
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 6:3:2:1,294
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 6:3:2:2,296
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 6:3:2:3,298
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 6:5:3:1,302
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 6:7:2:1,306
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:1:7:1,311
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:2:2:1,315
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:2:3:1,318
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:2:5:1,321
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:2:5:2,323
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:3:2:1,327
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:5:2:1,331
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:5:3:1,334
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:6:4:1,338
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:6:5:1,341
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:6:5:2,343
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:6:6:1,346
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:7:2:1,350
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:7:3:1,353
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:8:5:1,357
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:9:3:1,361
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:9:7:1,364
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:9:8:1,367
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:10:2:1,371
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:10:3:1,374
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:10:4:1,377
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:10:8:1,380
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:10:9:1,383
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:12:3:1,387
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 7:13:6:1,391
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 8:1:2:1,396
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Sanhedrin 8:1:2:2,398
