ref,line_index
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:1:2:1,7
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:1:4:1,10
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:1:4:2,12
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:1:6:1,15
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:1:7:1,18
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:1:8:1,21
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:1:10:1,24
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:2:5:1,28
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:2:5:2,30
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:2:6:1,33
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:2:8:1,36
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:3:2:1,40
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:3:2:2,42
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:4:2:1,46
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:4:2:2,48
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:4:4:1,51
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:4:4:2,53
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:4:6:1,56
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:5:4:1,60
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:5:6:1,63
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:6:2:1,67
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:7:2:1,71
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:7:3:1,74
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:9:4:1,78
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 1:10:2:1,82
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 2:1:2:1,87
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 2:1:2:2,89
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 2:1:3:1,92
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 2:1:4:1,95
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 2:1:4:2,97
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 2:1:5:1,100
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 2:1:6:1,103
Sha'arei Torat Eretz Yisrael on Jerusalem Talmud Avodah Zarah 2:1:7:1,106
