ref,line_index
Rishon LeTzion on Lamentations 1:1:1,5
Rishon LeTzion on Lamentations 1:1:2,6
Rishon LeTzion on Lamentations 1:2:1,8
Rishon LeTzion on Lamentations 1:3:1,10
Rishon LeTzion on Lamentations 1:4:1,12
Rishon LeTzion on Lamentations 1:5:1,14
Rishon LeTzion on Lamentations 1:6:1,16
Rishon LeTzion on Lamentations 1:8:1,18
Rishon LeTzion on Lamentations 1:9:1,20
Rishon LeTzion on Lamentations 1:10:1,22
Rishon LeTzion on Lamentations 1:11:1,24
Rishon LeTzion on Lamentations 1:12:1,26
Rishon LeTzion on Lamentations 1:12:2,27
