ref,line_index
Rishon LeTzion on Proverbs 1:2:1,5
Rishon LeTzion on Proverbs 1:2:2,6
Rishon LeTzion on Proverbs 1:10:1,8
Rishon LeTzion on Proverbs 1:11:1,10
Rishon LeTzion on Proverbs 1:15:1,12
Rishon LeTzion on Proverbs 1:15:2,13
Rishon LeTzion on Proverbs 1:15:3,14
Rishon LeTzion on Proverbs 1:15:4,15
Rishon LeTzion on Proverbs 1:20:1,17
Rishon LeTzion on Proverbs 1:20:2,18
Rishon LeTzion on Proverbs 1:20:3,19
Rishon LeTzion on Proverbs 1:24:1,21
Rishon LeTzion on Proverbs 1:24:2,22
Rishon LeTzion on Proverbs 1:29:1,24
Rishon LeTzion on Proverbs 1:32:1,26
Rishon LeTzion on Proverbs 2:1:1,29
Rishon LeTzion on Proverbs 2:1:2,30
Rishon LeTzion on Proverbs 2:1:3,31
Rishon LeTzion on Proverbs 2:1:4,32
Rishon LeTzion on Proverbs 2:1:5,33
Rishon LeTzion on Proverbs 2:10:1,35
Rishon LeTzion on Proverbs 2:16:1,37
Rishon LeTzion on Proverbs 2:20:1,39
Rishon LeTzion on Proverbs 3:1:1,42
Rishon LeTzion on Proverbs 3:3:1,44
Rishon LeTzion on Proverbs 3:3:2,45
Rishon LeTzion on Proverbs 3:7:1,47
Rishon LeTzion on Proverbs 3:11:1,49
Rishon LeTzion on Proverbs 3:13:1,51
Rishon LeTzion on Proverbs 3:16:1,53
Rishon LeTzion on Proverbs 3:19:1,55
Rishon LeTzion on Proverbs 3:20:1,57
Rishon LeTzion on Proverbs 3:27:1,59
Rishon LeTzion on Proverbs 3:28:1,61
Rishon LeTzion on Proverbs 3:29:1,63
Rishon LeTzion on Proverbs 3:30:1,65
Rishon LeTzion on Proverbs 4:1:1,68
Rishon LeTzion on Proverbs 4:3:1,70
Rishon LeTzion on Proverbs 4:5:1,72
Rishon LeTzion on Proverbs 27:10:1,75
Rishon LeTzion on Proverbs 30:1:1,78
Rishon LeTzion on Proverbs 30:5:1,80
Rishon LeTzion on Proverbs 30:5:2,81
