ref,line_index
Steinsaltz on I Chronicles 1:1,5
Steinsaltz on I Chronicles 1:2,7
Steinsaltz on I Chronicles 1:3,9
Steinsaltz on I Chronicles 1:4,11
Steinsaltz on I Chronicles 1:5,13
Steinsaltz on I Chronicles 1:6,15
Steinsaltz on I Chronicles 1:7,17
Steinsaltz on I Chronicles 1:8,19
Steinsaltz on I Chronicles 1:9,21
Steinsaltz on I Chronicles 1:10,23
Steinsaltz on I Chronicles 1:11,25
Steinsaltz on I Chronicles 1:12,27
Steinsaltz on I Chronicles 1:13,29
Steinsaltz on I Chronicles 1:14,31
Steinsaltz on I Chronicles 1:15,33
Steinsaltz on I Chronicles 1:16,35
Steinsaltz on I Chronicles 1:17,37
Steinsaltz on I Chronicles 1:18,39
Steinsaltz on I Chronicles 1:19,41
Steinsaltz on I Chronicles 1:20,43
Steinsaltz on I Chronicles 1:21,45
Steinsaltz on I Chronicles 1:22,47
Steinsaltz on I Chronicles 1:23,49
Steinsaltz on I Chronicles 1:24,51
Steinsaltz on I Chronicles 1:25,53
Steinsaltz on I Chronicles 1:26,55
Steinsaltz on I Chronicles 1:27,57
Steinsaltz on I Chronicles 1:28,59
Steinsaltz on I Chronicles 1:29,61
Steinsaltz on I Chronicles 1:30,63
Steinsaltz on I Chronicles 1:31,65
Steinsaltz on I Chronicles 1:32,67
Steinsaltz on I Chronicles 1:33,69
Steinsaltz on I Chronicles 1:34,71
Steinsaltz on I Chronicles 1:35,73
Steinsaltz on I Chronicles 1:36,75
Steinsaltz on I Chronicles 1:37,77
Steinsaltz on I Chronicles 1:38,79
Steinsaltz on I Chronicles 1:39,81
Steinsaltz on I Chronicles 1:40,83
Steinsaltz on I Chronicles 1:41,85
Steinsaltz on I Chronicles 1:42,87
Steinsaltz on I Chronicles 1:43,89
Steinsaltz on I Chronicles 1:44,91
Steinsaltz on I Chronicles 1:45,93
Steinsaltz on I Chronicles 1:46,95
Steinsaltz on I Chronicles 1:47,97
Steinsaltz on I Chronicles 1:48,99
Steinsaltz on I Chronicles 1:49,101
Steinsaltz on I Chronicles 1:50,103
Steinsaltz on I Chronicles 1:51,105
Steinsaltz on I Chronicles 1:52,107
Steinsaltz on I Chronicles 1:53,109
Steinsaltz on I Chronicles 1:54,111
Steinsaltz on I Chronicles 2:1,114
Steinsaltz on I Chronicles 2:2,116
Steinsaltz on I Chronicles 2:3,118
Steinsaltz on I Chronicles 2:4,120
Steinsaltz on I Chronicles 2:5,122
Steinsaltz on I Chronicles 2:6,124
Steinsaltz on I Chronicles 2:7,126
Steinsaltz on I Chronicles 2:8,128
Steinsaltz on I Chronicles 2:9,130
Steinsaltz on I Chronicles 2:10,132
Steinsaltz on I Chronicles 2:11,134
Steinsaltz on I Chronicles 2:12,136
Steinsaltz on I Chronicles 2:13,138
Steinsaltz on I Chronicles 2:14,140
Steinsaltz on I Chronicles 2:15,142
Steinsaltz on I Chronicles 2:16,144
Steinsaltz on I Chronicles 2:17,146
Steinsaltz on I Chronicles 2:18,148
Steinsaltz on I Chronicles 2:19,150
Steinsaltz on I Chronicles 2:20,152
Steinsaltz on I Chronicles 2:21,154
Steinsaltz on I Chronicles 2:22,156
Steinsaltz on I Chronicles 2:23,158
Steinsaltz on I Chronicles 2:24,160
Steinsaltz on I Chronicles 2:25,162
Steinsaltz on I Chronicles 2:26,164
Steinsaltz on I Chronicles 2:27,166
Steinsaltz on I Chronicles 2:28,168
Steinsaltz on I Chronicles 2:29,170
Steinsaltz on I Chronicles 2:30,172
Steinsaltz on I Chronicles 2:31,174
Steinsaltz on I Chronicles 2:32,176
Steinsaltz on I Chronicles 2:33,178
Steinsaltz on I Chronicles 2:34,180
Steinsaltz on I Chronicles 2:35,182
Steinsaltz on I Chronicles 2:36,184
Steinsaltz on I Chronicles 2:37,186
Steinsaltz on I Chronicles 2:38,188
Steinsaltz on I Chronicles 2:39,190
Steinsaltz on I Chronicles 2:40,192
Steinsaltz on I Chronicles 2:41,194
Steinsaltz on I Chronicles 2:42,196
Steinsaltz on I Chronicles 2:43,198
Steinsaltz on I Chronicles 2:44,200
Steinsaltz on I Chronicles 2:45,202
Steinsaltz on I Chronicles 2:46,204
Steinsaltz on I Chronicles 2:47,206
Steinsaltz on I Chronicles 2:48,208
Steinsaltz on I Chronicles 2:49,210
Steinsaltz on I Chronicles 2:50,212
Steinsaltz on I Chronicles 2:51,214
Steinsaltz on I Chronicles 2:52,216
Steinsaltz on I Chronicles 2:53,218
Steinsaltz on I Chronicles 2:54,220
Steinsaltz on I Chronicles 2:55,222
Steinsaltz on I Chronicles 3:1,225
Steinsaltz on I Chronicles 3:2,227
Steinsaltz on I Chronicles 3:3,229
Steinsaltz on I Chronicles 3:4,231
Steinsaltz on I Chronicles 3:5,233
Steinsaltz on I Chronicles 3:6,235
Steinsaltz on I Chronicles 3:7,237
Steinsaltz on I Chronicles 3:8,239
Steinsaltz on I Chronicles 3:9,241
Steinsaltz on I Chronicles 3:10,243
Steinsaltz on I Chronicles 3:11,245
Steinsaltz on I Chronicles 3:12,247
Steinsaltz on I Chronicles 3:13,249
Steinsaltz on I Chronicles 3:14,251
Steinsaltz on I Chronicles 3:15,253
Steinsaltz on I Chronicles 3:16,255
Steinsaltz on I Chronicles 3:17,257
Steinsaltz on I Chronicles 3:18,259
Steinsaltz on I Chronicles 3:19,261
Steinsaltz on I Chronicles 3:20,263
Steinsaltz on I Chronicles 3:21,265
Steinsaltz on I Chronicles 3:22,267
Steinsaltz on I Chronicles 3:23,269
Steinsaltz on I Chronicles 3:24,271
Steinsaltz on I Chronicles 4:1,274
Steinsaltz on I Chronicles 4:2,276
Steinsaltz on I Chronicles 4:3,278
Steinsaltz on I Chronicles 4:4,280
Steinsaltz on I Chronicles 4:5,282
Steinsaltz on I Chronicles 4:6,284
Steinsaltz on I Chronicles 4:7,286
Steinsaltz on I Chronicles 4:8,288
Steinsaltz on I Chronicles 4:9,290
Steinsaltz on I Chronicles 4:10,292
Steinsaltz on I Chronicles 4:11,294
Steinsaltz on I Chronicles 4:12,296
Steinsaltz on I Chronicles 4:13,298
Steinsaltz on I Chronicles 4:14,300
Steinsaltz on I Chronicles 4:15,302
Steinsaltz on I Chronicles 4:16,304
Steinsaltz on I Chronicles 4:17,306
Steinsaltz on I Chronicles 4:18,308
Steinsaltz on I Chronicles 4:19,310
Steinsaltz on I Chronicles 4:20,312
Steinsaltz on I Chronicles 4:21,314
Steinsaltz on I Chronicles 4:22,316
Steinsaltz on I Chronicles 4:23,318
Steinsaltz on I Chronicles 4:24,320
Steinsaltz on I Chronicles 4:25,322
Steinsaltz on I Chronicles 4:26,324
Steinsaltz on I Chronicles 4:27,326
Steinsaltz on I Chronicles 4:28,328
Steinsaltz on I Chronicles 4:29,330
Steinsaltz on I Chronicles 4:30,332
Steinsaltz on I Chronicles 4:31,334
Steinsaltz on I Chronicles 4:32,336
Steinsaltz on I Chronicles 4:33,338
Steinsaltz on I Chronicles 4:34,340
Steinsaltz on I Chronicles 4:35,342
Steinsaltz on I Chronicles 4:36,344
Steinsaltz on I Chronicles 4:37,346
Steinsaltz on I Chronicles 4:38,348
Steinsaltz on I Chronicles 4:39,350
Steinsaltz on I Chronicles 4:40,352
Steinsaltz on I Chronicles 4:41,354
Steinsaltz on I Chronicles 4:42,356
Steinsaltz on I Chronicles 4:43,358
Steinsaltz on I Chronicles 5:1,361
Steinsaltz on I Chronicles 5:2,363
Steinsaltz on I Chronicles 5:3,365
Steinsaltz on I Chronicles 5:4,367
Steinsaltz on I Chronicles 5:5,369
Steinsaltz on I Chronicles 5:6,371
Steinsaltz on I Chronicles 5:7,373
Steinsaltz on I Chronicles 5:8,375
Steinsaltz on I Chronicles 5:9,377
Steinsaltz on I Chronicles 5:10,379
Steinsaltz on I Chronicles 5:11,381
Steinsaltz on I Chronicles 5:12,383
Steinsaltz on I Chronicles 5:13,385
Steinsaltz on I Chronicles 5:14,387
Steinsaltz on I Chronicles 5:15,389
Steinsaltz on I Chronicles 5:16,391
Steinsaltz on I Chronicles 5:17,393
Steinsaltz on I Chronicles 5:18,395
Steinsaltz on I Chronicles 5:19,397
Steinsaltz on I Chronicles 5:20,399
Steinsaltz on I Chronicles 5:21,401
Steinsaltz on I Chronicles 5:22,403
Steinsaltz on I Chronicles 5:23,405
Steinsaltz on I Chronicles 5:24,407
Steinsaltz on I Chronicles 5:25,409
Steinsaltz on I Chronicles 5:26,411
Steinsaltz on I Chronicles 5:27,413
Steinsaltz on I Chronicles 5:28,415
Steinsaltz on I Chronicles 5:29,417
Steinsaltz on I Chronicles 5:30,419
Steinsaltz on I Chronicles 5:31,421
Steinsaltz on I Chronicles 5:32,423
Steinsaltz on I Chronicles 5:33,425
Steinsaltz on I Chronicles 5:34,427
Steinsaltz on I Chronicles 5:35,429
Steinsaltz on I Chronicles 5:36,431
Steinsaltz on I Chronicles 5:37,433
Steinsaltz on I Chronicles 5:38,435
Steinsaltz on I Chronicles 5:39,437
Steinsaltz on I Chronicles 5:40,439
Steinsaltz on I Chronicles 5:41,441
Steinsaltz on I Chronicles 6:1,444
Steinsaltz on I Chronicles 6:2,446
Steinsaltz on I Chronicles 6:3,448
Steinsaltz on I Chronicles 6:4,450
Steinsaltz on I Chronicles 6:5,452
Steinsaltz on I Chronicles 6:6,454
Steinsaltz on I Chronicles 6:7,456
Steinsaltz on I Chronicles 6:8,458
Steinsaltz on I Chronicles 6:9,460
Steinsaltz on I Chronicles 6:10,462
Steinsaltz on I Chronicles 6:11,464
Steinsaltz on I Chronicles 6:12,466
Steinsaltz on I Chronicles 6:13,468
Steinsaltz on I Chronicles 6:14,470
Steinsaltz on I Chronicles 6:15,472
Steinsaltz on I Chronicles 6:16,474
Steinsaltz on I Chronicles 6:17,476
Steinsaltz on I Chronicles 6:18,478
Steinsaltz on I Chronicles 6:19,480
Steinsaltz on I Chronicles 6:20,482
Steinsaltz on I Chronicles 6:21,484
Steinsaltz on I Chronicles 6:22,486
Steinsaltz on I Chronicles 6:23,488
Steinsaltz on I Chronicles 6:24,490
Steinsaltz on I Chronicles 6:25,492
Steinsaltz on I Chronicles 6:26,494
Steinsaltz on I Chronicles 6:27,496
Steinsaltz on I Chronicles 6:28,498
Steinsaltz on I Chronicles 6:29,500
Steinsaltz on I Chronicles 6:30,502
Steinsaltz on I Chronicles 6:31,504
Steinsaltz on I Chronicles 6:32,506
Steinsaltz on I Chronicles 6:33,508
Steinsaltz on I Chronicles 6:34,510
Steinsaltz on I Chronicles 6:35,512
Steinsaltz on I Chronicles 6:36,514
Steinsaltz on I Chronicles 6:37,516
Steinsaltz on I Chronicles 6:38,518
Steinsaltz on I Chronicles 6:39,520
Steinsaltz on I Chronicles 6:40,522
Steinsaltz on I Chronicles 6:41,524
Steinsaltz on I Chronicles 6:42,526
Steinsaltz on I Chronicles 6:43,528
Steinsaltz on I Chronicles 6:44,530
Steinsaltz on I Chronicles 6:45,532
Steinsaltz on I Chronicles 6:46,534
Steinsaltz on I Chronicles 6:47,536
Steinsaltz on I Chronicles 6:48,538
Steinsaltz on I Chronicles 6:49,540
Steinsaltz on I Chronicles 6:50,542
Steinsaltz on I Chronicles 6:51,544
Steinsaltz on I Chronicles 6:52,546
Steinsaltz on I Chronicles 6:53,548
Steinsaltz on I Chronicles 6:54,550
Steinsaltz on I Chronicles 6:55,552
Steinsaltz on I Chronicles 6:56,554
Steinsaltz on I Chronicles 6:57,556
Steinsaltz on I Chronicles 6:58,558
Steinsaltz on I Chronicles 6:59,560
Steinsaltz on I Chronicles 6:60,562
Steinsaltz on I Chronicles 6:61,564
Steinsaltz on I Chronicles 6:62,566
Steinsaltz on I Chronicles 6:63,568
Steinsaltz on I Chronicles 6:64,570
Steinsaltz on I Chronicles 6:65,572
Steinsaltz on I Chronicles 6:66,574
Steinsaltz on I Chronicles 7:1,577
Steinsaltz on I Chronicles 7:2,579
Steinsaltz on I Chronicles 7:3,581
Steinsaltz on I Chronicles 7:4,583
Steinsaltz on I Chronicles 7:5,585
Steinsaltz on I Chronicles 7:6,587
Steinsaltz on I Chronicles 7:7,589
Steinsaltz on I Chronicles 7:8,591
Steinsaltz on I Chronicles 7:9,593
Steinsaltz on I Chronicles 7:10,595
Steinsaltz on I Chronicles 7:11,597
Steinsaltz on I Chronicles 7:12,599
Steinsaltz on I Chronicles 7:13,601
Steinsaltz on I Chronicles 7:14,603
Steinsaltz on I Chronicles 7:15,605
Steinsaltz on I Chronicles 7:16,607
Steinsaltz on I Chronicles 7:17,609
Steinsaltz on I Chronicles 7:18,611
Steinsaltz on I Chronicles 7:19,613
Steinsaltz on I Chronicles 7:20,615
Steinsaltz on I Chronicles 7:21,617
Steinsaltz on I Chronicles 7:22,619
Steinsaltz on I Chronicles 7:23,621
Steinsaltz on I Chronicles 7:24,623
Steinsaltz on I Chronicles 7:25,625
Steinsaltz on I Chronicles 7:26,627
Steinsaltz on I Chronicles 7:27,629
Steinsaltz on I Chronicles 7:28,631
Steinsaltz on I Chronicles 7:29,633
Steinsaltz on I Chronicles 7:30,635
Steinsaltz on I Chronicles 7:31,637
Steinsaltz on I Chronicles 7:32,639
Steinsaltz on I Chronicles 7:33,641
Steinsaltz on I Chronicles 7:34,643
Steinsaltz on I Chronicles 7:35,645
Steinsaltz on I Chronicles 7:36,647
Steinsaltz on I Chronicles 7:37,649
Steinsaltz on I Chronicles 7:38,651
Steinsaltz on I Chronicles 7:39,653
Steinsaltz on I Chronicles 7:40,655
Steinsaltz on I Chronicles 8:1,658
Steinsaltz on I Chronicles 8:2,660
Steinsaltz on I Chronicles 8:3,662
Steinsaltz on I Chronicles 8:4,664
Steinsaltz on I Chronicles 8:5,666
Steinsaltz on I Chronicles 8:6,668
Steinsaltz on I Chronicles 8:7,670
Steinsaltz on I Chronicles 8:8,672
