ref,line_index
Steinsaltz on Daniel 1:1,5
Steinsaltz on Daniel 1:2,7
Steinsaltz on Daniel 1:3,9
Steinsaltz on Daniel 1:4,11
Steinsaltz on Daniel 1:5,13
Steinsaltz on Daniel 1:6,15
Steinsaltz on Daniel 1:7,17
Steinsaltz on Daniel 1:8,19
Steinsaltz on Daniel 1:9,21
Steinsaltz on Daniel 1:10,23
Steinsaltz on Daniel 1:11,25
Steinsaltz on Daniel 1:12,27
Steinsaltz on Daniel 1:13,29
Steinsaltz on Daniel 1:14,31
Steinsaltz on Daniel 1:15,33
Steinsaltz on Daniel 1:16,35
Steinsaltz on Daniel 1:17,37
Steinsaltz on Daniel 1:18,39
Steinsaltz on Daniel 1:19,41
Steinsaltz on Daniel 1:20,43
Steinsaltz on Daniel 1:21,45
Steinsaltz on Daniel 2:1,48
Steinsaltz on Daniel 2:2,50
Steinsaltz on Daniel 2:3,52
Steinsaltz on Daniel 2:4,54
Steinsaltz on Daniel 2:5,56
Steinsaltz on Daniel 2:6,58
Steinsaltz on Daniel 2:7,60
Steinsaltz on Daniel 2:8,62
Steinsaltz on Daniel 2:9,64
Steinsaltz on Daniel 2:10,66
Steinsaltz on Daniel 2:11,68
Steinsaltz on Daniel 2:12,70
Steinsaltz on Daniel 2:13,72
Steinsaltz on Daniel 2:14,74
Steinsaltz on Daniel 2:15,76
Steinsaltz on Daniel 2:16,78
Steinsaltz on Daniel 2:17,80
Steinsaltz on Daniel 2:18,82
Steinsaltz on Daniel 2:19,84
Steinsaltz on Daniel 2:20,86
Steinsaltz on Daniel 2:21,88
Steinsaltz on Daniel 2:22,90
Steinsaltz on Daniel 2:23,92
Steinsaltz on Daniel 2:24,94
Steinsaltz on Daniel 2:25,96
Steinsaltz on Daniel 2:26,98
Steinsaltz on Daniel 2:27,100
Steinsaltz on Daniel 2:28,102
Steinsaltz on Daniel 2:29,104
Steinsaltz on Daniel 2:30,106
Steinsaltz on Daniel 2:31,108
Steinsaltz on Daniel 2:32,110
Steinsaltz on Daniel 2:33,112
Steinsaltz on Daniel 2:34,114
Steinsaltz on Daniel 2:35,116
Steinsaltz on Daniel 2:36,118
Steinsaltz on Daniel 2:37,120
Steinsaltz on Daniel 2:38,122
Steinsaltz on Daniel 2:39,124
Steinsaltz on Daniel 2:40,126
Steinsaltz on Daniel 2:41,128
Steinsaltz on Daniel 2:42,130
Steinsaltz on Daniel 2:43,132
Steinsaltz on Daniel 2:44,134
Steinsaltz on Daniel 2:45,136
Steinsaltz on Daniel 2:46,138
Steinsaltz on Daniel 2:47,140
Steinsaltz on Daniel 2:48,142
Steinsaltz on Daniel 2:49,144
Steinsaltz on Daniel 3:1,147
Steinsaltz on Daniel 3:2,149
