ref,line_index
Steinsaltz on Ruth 1:1,5
Steinsaltz on Ruth 1:2,7
Steinsaltz on Ruth 1:3,9
Steinsaltz on Ruth 1:4,11
Steinsaltz on Ruth 1:5,13
Steinsaltz on Ruth 1:6,15
Steinsaltz on Ruth 1:7,17
Steinsaltz on Ruth 1:8,19
Steinsaltz on Ruth 1:9,21
Steinsaltz on Ruth 1:10,23
Steinsaltz on Ruth 1:11,25
Steinsaltz on Ruth 1:12,27
Steinsaltz on Ruth 1:13,29
Steinsaltz on Ruth 1:14,31
Steinsaltz on Ruth 1:15,33
Steinsaltz on Ruth 1:16,35
Steinsaltz on Ruth 1:17,37
Steinsaltz on Ruth 1:18,39
Steinsaltz on Ruth 1:19,41
Steinsaltz on Ruth 1:20,43
Steinsaltz on Ruth 1:21,45
Steinsaltz on Ruth 1:22,47
Steinsaltz on Ruth 2:1,50
Steinsaltz on Ruth 2:2,52
Steinsaltz on Ruth 2:3,54
Steinsaltz on Ruth 2:4,56
Steinsaltz on Ruth 2:5,58
Steinsaltz on Ruth 2:6,60
Steinsaltz on Ruth 2:7,62
Steinsaltz on Ruth 2:8,64
Steinsaltz on Ruth 2:9,66
Steinsaltz on Ruth 2:10,68
Steinsaltz on Ruth 2:11,70
Steinsaltz on Ruth 2:12,72
Steinsaltz on Ruth 2:13,74
Steinsaltz on Ruth 2:14,76
Steinsaltz on Ruth 2:15,78
Steinsaltz on Ruth 2:16,80
Steinsaltz on Ruth 2:17,82
Steinsaltz on Ruth 2:18,84
Steinsaltz on Ruth 2:19,86
Steinsaltz on Ruth 2:20,88
Steinsaltz on Ruth 2:21,90
Steinsaltz on Ruth 2:22,92
Steinsaltz on Ruth 2:23,94
Steinsaltz on Ruth 3:1,97
Steinsaltz on Ruth 3:2,99
Steinsaltz on Ruth 3:3,101
Steinsaltz on Ruth 3:4,103
Steinsaltz on Ruth 3:5,105
Steinsaltz on Ruth 3:6,107
Steinsaltz on Ruth 3:7,109
Steinsaltz on Ruth 3:8,111
Steinsaltz on Ruth 3:9,113
Steinsaltz on Ruth 3:10,115
Steinsaltz on Ruth 3:11,117
Steinsaltz on Ruth 3:12,119
Steinsaltz on Ruth 3:13,121
Steinsaltz on Ruth 3:14,123
Steinsaltz on Ruth 3:15,125
Steinsaltz on Ruth 3:16,127
Steinsaltz on Ruth 3:17,129
Steinsaltz on Ruth 3:18,131
Steinsaltz on Ruth 4:1,134
Steinsaltz on Ruth 4:2,136
Steinsaltz on Ruth 4:3,138
Steinsaltz on Ruth 4:4,140
Steinsaltz on Ruth 4:5,142
Steinsaltz on Ruth 4:6,144
Steinsaltz on Ruth 4:7,146
Steinsaltz on Ruth 4:8,148
Steinsaltz on Ruth 4:9,150
Steinsaltz on Ruth 4:10,152
Steinsaltz on Ruth 4:11,154
Steinsaltz on Ruth 4:12,156
Steinsaltz on Ruth 4:13,158
Steinsaltz on Ruth 4:14,160
Steinsaltz on Ruth 4:15,162
Steinsaltz on Ruth 4:16,164
Steinsaltz on Ruth 4:17,166
Steinsaltz on Ruth 4:18,168
Steinsaltz on Ruth 4:19,170
Steinsaltz on Ruth 4:20,172
Steinsaltz on Ruth 4:21,174
Steinsaltz on Ruth 4:22,176
