ref,line_index
Steinsaltz on Habakkuk 1:1,5
Steinsaltz on Habakkuk 1:2,7
Steinsaltz on Habakkuk 1:3,9
Steinsaltz on Habakkuk 1:4,11
Steinsaltz on Habakkuk 1:5,13
Steinsaltz on Habakkuk 1:6,15
Steinsaltz on Habakkuk 1:7,17
Steinsaltz on Habakkuk 1:8,19
Steinsaltz on Habakkuk 1:9,21
Steinsaltz on Habakkuk 1:10,23
Steinsaltz on Habakkuk 1:11,25
Steinsaltz on Habakkuk 1:12,27
Steinsaltz on Habakkuk 1:13,29
Steinsaltz on Habakkuk 1:14,31
Steinsaltz on Habakkuk 1:15,33
Steinsaltz on Habakkuk 1:16,35
Steinsaltz on Habakkuk 1:17,37
Steinsaltz on Habakkuk 2:1,40
Steinsaltz on Habakkuk 2:2,42
Steinsaltz on Habakkuk 2:3,44
Steinsaltz on Habakkuk 2:4,46
Steinsaltz on Habakkuk 2:5,48
Steinsaltz on Habakkuk 2:6,50
Steinsaltz on Habakkuk 2:7,52
Steinsaltz on Habakkuk 2:8,54
Steinsaltz on Habakkuk 2:9,56
Steinsaltz on Habakkuk 2:10,58
Steinsaltz on Habakkuk 2:11,60
Steinsaltz on Habakkuk 2:12,62
Steinsaltz on Habakkuk 2:13,64
Steinsaltz on Habakkuk 2:14,66
Steinsaltz on Habakkuk 2:15,68
Steinsaltz on Habakkuk 2:16,70
Steinsaltz on Habakkuk 2:17,72
Steinsaltz on Habakkuk 2:18,74
Steinsaltz on Habakkuk 2:19,76
Steinsaltz on Habakkuk 2:20,78
Steinsaltz on Habakkuk 3:1,81
Steinsaltz on Habakkuk 3:2,83
Steinsaltz on Habakkuk 3:3,85
Steinsaltz on Habakkuk 3:4,87
Steinsaltz on Habakkuk 3:5,89
Steinsaltz on Habakkuk 3:6,91
Steinsaltz on Habakkuk 3:7,93
Steinsaltz on Habakkuk 3:8,95
Steinsaltz on Habakkuk 3:9,97
Steinsaltz on Habakkuk 3:10,99
Steinsaltz on Habakkuk 3:11,101
Steinsaltz on Habakkuk 3:12,103
Steinsaltz on Habakkuk 3:13,105
Steinsaltz on Habakkuk 3:14,107
Steinsaltz on Habakkuk 3:15,109
Steinsaltz on Habakkuk 3:16,111
Steinsaltz on Habakkuk 3:17,113
Steinsaltz on Habakkuk 3:18,115
Steinsaltz on Habakkuk 3:19,117
