ref,line_index
Steinsaltz on Obadiah 1:1,5
Steinsaltz on Obadiah 1:2,7
Steinsaltz on Obadiah 1:3,9
Steinsaltz on Obadiah 1:4,11
Steinsaltz on Obadiah 1:5,13
Steinsaltz on Obadiah 1:6,15
Steinsaltz on Obadiah 1:7,17
Steinsaltz on Obadiah 1:8,19
Steinsaltz on Obadiah 1:9,21
Steinsaltz on Obadiah 1:10,23
Steinsaltz on Obadiah 1:11,25
Steinsaltz on Obadiah 1:12,27
Steinsaltz on Obadiah 1:13,29
Steinsaltz on Obadiah 1:14,31
Steinsaltz on Obadiah 1:15,33
Steinsaltz on Obadiah 1:16,35
Steinsaltz on Obadiah 1:17,37
Steinsaltz on Obadiah 1:18,39
Steinsaltz on Obadiah 1:19,41
Steinsaltz on Obadiah 1:20,43
Steinsaltz on Obadiah 1:21,45
