ref,line_index
Steinsaltz on Amos 1:1,5
Steinsaltz on Amos 1:2,7
Steinsaltz on Amos 1:3,9
Steinsaltz on Amos 1:4,11
Steinsaltz on Amos 1:5,13
Steinsaltz on Amos 1:6,15
Steinsaltz on Amos 1:7,17
Steinsaltz on Amos 1:8,19
Steinsaltz on Amos 1:9,21
Steinsaltz on Amos 1:10,23
Steinsaltz on Amos 1:11,25
Steinsaltz on Amos 1:12,27
Steinsaltz on Amos 1:13,29
Steinsaltz on Amos 1:14,31
Steinsaltz on Amos 1:15,33
Steinsaltz on Amos 2:1,36
Steinsaltz on Amos 2:2,38
Steinsaltz on Amos 2:3,40
Steinsaltz on Amos 2:4,42
Steinsaltz on Amos 2:5,44
Steinsaltz on Amos 2:6,46
Steinsaltz on Amos 2:7,48
Steinsaltz on Amos 2:8,50
Steinsaltz on Amos 2:9,52
Steinsaltz on Amos 2:10,54
Steinsaltz on Amos 2:11,56
Steinsaltz on Amos 2:12,58
Steinsaltz on Amos 2:13,60
Steinsaltz on Amos 2:14,62
Steinsaltz on Amos 2:15,64
Steinsaltz on Amos 2:16,66
Steinsaltz on Amos 3:1,69
Steinsaltz on Amos 3:2,71
Steinsaltz on Amos 3:3,73
Steinsaltz on Amos 3:4,75
Steinsaltz on Amos 3:5,77
Steinsaltz on Amos 3:6,79
Steinsaltz on Amos 3:7,81
Steinsaltz on Amos 3:8,83
Steinsaltz on Amos 3:9,85
Steinsaltz on Amos 3:10,87
Steinsaltz on Amos 3:11,89
Steinsaltz on Amos 3:12,91
Steinsaltz on Amos 3:13,93
Steinsaltz on Amos 3:14,95
Steinsaltz on Amos 3:15,97
Steinsaltz on Amos 4:1,100
Steinsaltz on Amos 4:2,102
Steinsaltz on Amos 4:3,104
Steinsaltz on Amos 4:4,106
Steinsaltz on Amos 4:5,108
Steinsaltz on Amos 4:6,110
Steinsaltz on Amos 4:7,112
Steinsaltz on Amos 4:8,114
Steinsaltz on Amos 4:9,116
Steinsaltz on Amos 4:10,118
Steinsaltz on Amos 4:11,120
Steinsaltz on Amos 4:12,122
Steinsaltz on Amos 4:13,124
Steinsaltz on Amos 5:1,127
Steinsaltz on Amos 5:2,129
Steinsaltz on Amos 5:3,131
Steinsaltz on Amos 5:4,133
Steinsaltz on Amos 5:5,135
Steinsaltz on Amos 5:6,137
Steinsaltz on Amos 5:7,139
Steinsaltz on Amos 5:8,141
Steinsaltz on Amos 5:9,143
Steinsaltz on Amos 5:10,145
Steinsaltz on Amos 5:11,147
Steinsaltz on Amos 5:12,149
Steinsaltz on Amos 5:13,151
Steinsaltz on Amos 5:14,153
Steinsaltz on Amos 5:15,155
Steinsaltz on Amos 5:16,157
Steinsaltz on Amos 5:17,159
Steinsaltz on Amos 5:18,161
Steinsaltz on Amos 5:19,163
Steinsaltz on Amos 5:20,165
Steinsaltz on Amos 5:21,167
Steinsaltz on Amos 5:22,169
Steinsaltz on Amos 5:23,171
Steinsaltz on Amos 5:24,173
Steinsaltz on Amos 5:25,175
Steinsaltz on Amos 5:26,177
Steinsaltz on Amos 5:27,179
Steinsaltz on Amos 6:1,182
Steinsaltz on Amos 6:2,184
Steinsaltz on Amos 6:3,186
Steinsaltz on Amos 6:4,188
Steinsaltz on Amos 6:5,190
Steinsaltz on Amos 6:6,192
Steinsaltz on Amos 6:7,194
Steinsaltz on Amos 6:8,196
Steinsaltz on Amos 6:9,198
Steinsaltz on Amos 6:10,200
Steinsaltz on Amos 6:11,202
Steinsaltz on Amos 6:12,204
Steinsaltz on Amos 6:13,206
Steinsaltz on Amos 6:14,208
Steinsaltz on Amos 7:1,211
Steinsaltz on Amos 7:2,213
Steinsaltz on Amos 7:3,215
Steinsaltz on Amos 7:4,217
Steinsaltz on Amos 7:5,219
Steinsaltz on Amos 7:6,221
Steinsaltz on Amos 7:7,223
Steinsaltz on Amos 7:8,225
Steinsaltz on Amos 7:9,227
Steinsaltz on Amos 7:10,229
Steinsaltz on Amos 7:11,231
Steinsaltz on Amos 7:12,233
Steinsaltz on Amos 7:13,235
Steinsaltz on Amos 7:14,237
Steinsaltz on Amos 7:15,239
Steinsaltz on Amos 7:16,241
Steinsaltz on Amos 7:17,243
Steinsaltz on Amos 8:1,246
Steinsaltz on Amos 8:2,248
Steinsaltz on Amos 8:3,250
Steinsaltz on Amos 8:4,252
Steinsaltz on Amos 8:5,254
Steinsaltz on Amos 8:6,256
Steinsaltz on Amos 8:7,258
Steinsaltz on Amos 8:8,260
Steinsaltz on Amos 8:9,262
Steinsaltz on Amos 8:10,264
Steinsaltz on Amos 8:11,266
Steinsaltz on Amos 8:12,268
Steinsaltz on Amos 8:13,270
Steinsaltz on Amos 8:14,272
Steinsaltz on Amos 9:1,275
Steinsaltz on Amos 9:2,277
Steinsaltz on Amos 9:3,279
Steinsaltz on Amos 9:4,281
Steinsaltz on Amos 9:5,283
Steinsaltz on Amos 9:6,285
Steinsaltz on Amos 9:7,287
Steinsaltz on Amos 9:8,289
Steinsaltz on Amos 9:9,291
Steinsaltz on Amos 9:10,293
Steinsaltz on Amos 9:11,295
Steinsaltz on Amos 9:12,297
Steinsaltz on Amos 9:13,299
Steinsaltz on Amos 9:14,301
Steinsaltz on Amos 9:15,303
