ref,line_index
Steinsaltz on Zephaniah 1:1,5
Steinsaltz on Zephaniah 1:2,7
Steinsaltz on Zephaniah 1:3,9
Steinsaltz on Zephaniah 1:4,11
Steinsaltz on Zephaniah 1:5,13
Steinsaltz on Zephaniah 1:6,15
Steinsaltz on Zephaniah 1:7,17
Steinsaltz on Zephaniah 1:8,19
Steinsaltz on Zephaniah 1:9,21
Steinsaltz on Zephaniah 1:10,23
Steinsaltz on Zephaniah 1:11,25
Steinsaltz on Zephaniah 1:12,27
Steinsaltz on Zephaniah 1:13,29
Steinsaltz on Zephaniah 1:14,31
Steinsaltz on Zephaniah 1:15,33
Steinsaltz on Zephaniah 1:16,35
Steinsaltz on Zephaniah 1:17,37
Steinsaltz on Zephaniah 1:18,39
Steinsaltz on Zephaniah 2:1,42
Steinsaltz on Zephaniah 2:2,44
Steinsaltz on Zephaniah 2:3,46
Steinsaltz on Zephaniah 2:4,48
Steinsaltz on Zephaniah 2:5,50
Steinsaltz on Zephaniah 2:6,52
Steinsaltz on Zephaniah 2:7,54
Steinsaltz on Zephaniah 2:8,56
Steinsaltz on Zephaniah 2:9,58
Steinsaltz on Zephaniah 2:10,60
Steinsaltz on Zephaniah 2:11,62
Steinsaltz on Zephaniah 2:12,64
Steinsaltz on Zephaniah 2:13,66
Steinsaltz on Zephaniah 2:14,68
Steinsaltz on Zephaniah 2:15,70
Steinsaltz on Zephaniah 3:1,73
Steinsaltz on Zephaniah 3:2,75
Steinsaltz on Zephaniah 3:3,77
Steinsaltz on Zephaniah 3:4,79
Steinsaltz on Zephaniah 3:5,81
Steinsaltz on Zephaniah 3:6,83
Steinsaltz on Zephaniah 3:7,85
Steinsaltz on Zephaniah 3:8,87
Steinsaltz on Zephaniah 3:9,89
Steinsaltz on Zephaniah 3:10,91
Steinsaltz on Zephaniah 3:11,93
Steinsaltz on Zephaniah 3:12,95
Steinsaltz on Zephaniah 3:13,97
Steinsaltz on Zephaniah 3:14,99
Steinsaltz on Zephaniah 3:15,101
Steinsaltz on Zephaniah 3:16,103
Steinsaltz on Zephaniah 3:17,105
Steinsaltz on Zephaniah 3:18,107
Steinsaltz on Zephaniah 3:19,109
Steinsaltz on Zephaniah 3:20,111
