ref,line_index
Steinsaltz on II Samuel 1:1,5
Steinsaltz on II Samuel 1:2,7
Steinsaltz on II Samuel 1:3,9
Steinsaltz on II Samuel 1:4,11
Steinsaltz on II Samuel 1:5,13
Steinsaltz on II Samuel 1:6,15
Steinsaltz on II Samuel 1:7,17
Steinsaltz on II Samuel 1:8,19
Steinsaltz on II Samuel 1:9,21
Steinsaltz on II Samuel 1:10,23
Steinsaltz on II Samuel 1:11,25
Steinsaltz on II Samuel 1:12,27
Steinsaltz on II Samuel 1:13,29
Steinsaltz on II Samuel 1:14,31
Steinsaltz on II Samuel 1:15,33
Steinsaltz on II Samuel 1:16,35
Steinsaltz on II Samuel 1:17,37
Steinsaltz on II Samuel 1:18,39
Steinsaltz on II Samuel 1:19,41
Steinsaltz on II Samuel 1:20,43
Steinsaltz on II Samuel 1:21,45
Steinsaltz on II Samuel 1:22,47
Steinsaltz on II Samuel 1:23,49
Steinsaltz on II Samuel 1:24,51
Steinsaltz on II Samuel 1:25,53
Steinsaltz on II Samuel 1:26,55
Steinsaltz on II Samuel 1:27,57
Steinsaltz on II Samuel 2:1,60
Steinsaltz on II Samuel 2:2,62
Steinsaltz on II Samuel 2:3,64
Steinsaltz on II Samuel 2:4,66
Steinsaltz on II Samuel 2:5,68
Steinsaltz on II Samuel 2:6,70
Steinsaltz on II Samuel 2:7,72
Steinsaltz on II Samuel 2:8,74
Steinsaltz on II Samuel 2:9,76
Steinsaltz on II Samuel 2:10,78
Steinsaltz on II Samuel 2:11,80
Steinsaltz on II Samuel 2:12,82
Steinsaltz on II Samuel 2:13,84
Steinsaltz on II Samuel 2:14,86
Steinsaltz on II Samuel 2:15,88
Steinsaltz on II Samuel 2:16,90
Steinsaltz on II Samuel 2:17,92
Steinsaltz on II Samuel 2:18,94
Steinsaltz on II Samuel 2:19,96
Steinsaltz on II Samuel 2:20,98
Steinsaltz on II Samuel 2:21,100
Steinsaltz on II Samuel 2:22,102
Steinsaltz on II Samuel 2:23,104
Steinsaltz on II Samuel 2:24,106
Steinsaltz on II Samuel 2:25,108
Steinsaltz on II Samuel 2:26,110
Steinsaltz on II Samuel 2:27,112
