ref,line_index
Steinsaltz on Numbers 1:1,5
Steinsaltz on Numbers 1:2,7
Steinsaltz on Numbers 1:3,9
Steinsaltz on Numbers 1:4,11
Steinsaltz on Numbers 1:5,13
Steinsaltz on Numbers 1:6,15
Steinsaltz on Numbers 1:7,17
Steinsaltz on Numbers 1:8,19
Steinsaltz on Numbers 1:9,21
Steinsaltz on Numbers 1:10,23
Steinsaltz on Numbers 1:11,25
Steinsaltz on Numbers 1:12,27
Steinsaltz on Numbers 1:13,29
Steinsaltz on Numbers 1:14,31
Steinsaltz on Numbers 1:15,33
Steinsaltz on Numbers 1:16,35
Steinsaltz on Numbers 1:17,37
Steinsaltz on Numbers 1:18,39
Steinsaltz on Numbers 1:19,41
Steinsaltz on Numbers 1:20,43
Steinsaltz on Numbers 1:21,45
Steinsaltz on Numbers 1:22,47
Steinsaltz on Numbers 1:23,49
Steinsaltz on Numbers 1:24,51
Steinsaltz on Numbers 1:25,53
Steinsaltz on Numbers 1:26,55
Steinsaltz on Numbers 1:27,57
Steinsaltz on Numbers 1:28,59
Steinsaltz on Numbers 1:29,61
Steinsaltz on Numbers 1:30,63
Steinsaltz on Numbers 1:31,65
Steinsaltz on Numbers 1:32,67
Steinsaltz on Numbers 1:33,69
Steinsaltz on Numbers 1:34,71
Steinsaltz on Numbers 1:35,73
Steinsaltz on Numbers 1:36,75
Steinsaltz on Numbers 1:37,77
Steinsaltz on Numbers 1:38,79
Steinsaltz on Numbers 1:39,81
Steinsaltz on Numbers 1:40,83
Steinsaltz on Numbers 1:41,85
Steinsaltz on Numbers 1:42,87
Steinsaltz on Numbers 1:43,89
Steinsaltz on Numbers 1:44,91
Steinsaltz on Numbers 1:45,93
Steinsaltz on Numbers 1:46,95
Steinsaltz on Numbers 1:47,97
Steinsaltz on Numbers 1:48,99
Steinsaltz on Numbers 1:49,101
Steinsaltz on Numbers 1:50,103
Steinsaltz on Numbers 1:51,105
Steinsaltz on Numbers 1:52,107
Steinsaltz on Numbers 1:53,109
Steinsaltz on Numbers 1:54,111
Steinsaltz on Numbers 2:1,114
Steinsaltz on Numbers 2:2,116
Steinsaltz on Numbers 2:3,118
Steinsaltz on Numbers 2:4,120
Steinsaltz on Numbers 2:5,122
Steinsaltz on Numbers 2:6,124
Steinsaltz on Numbers 2:7,126
Steinsaltz on Numbers 2:8,128
Steinsaltz on Numbers 2:9,130
Steinsaltz on Numbers 2:10,132
Steinsaltz on Numbers 2:11,134
Steinsaltz on Numbers 2:12,136
Steinsaltz on Numbers 2:13,138
Steinsaltz on Numbers 2:14,140
Steinsaltz on Numbers 2:15,142
Steinsaltz on Numbers 2:16,144
Steinsaltz on Numbers 2:17,146
Steinsaltz on Numbers 2:18,148
Steinsaltz on Numbers 2:19,150
Steinsaltz on Numbers 2:20,152
Steinsaltz on Numbers 2:21,154
Steinsaltz on Numbers 2:22,156
Steinsaltz on Numbers 2:23,158
Steinsaltz on Numbers 2:24,160
Steinsaltz on Numbers 2:25,162
Steinsaltz on Numbers 2:26,164
Steinsaltz on Numbers 2:27,166
Steinsaltz on Numbers 2:28,168
Steinsaltz on Numbers 2:29,170
Steinsaltz on Numbers 2:30,172
Steinsaltz on Numbers 2:31,174
Steinsaltz on Numbers 2:32,176
Steinsaltz on Numbers 2:33,178
Steinsaltz on Numbers 2:34,180
Steinsaltz on Numbers 3:1,183
Steinsaltz on Numbers 3:2,185
Steinsaltz on Numbers 3:3,187
Steinsaltz on Numbers 3:4,189
Steinsaltz on Numbers 3:5,191
Steinsaltz on Numbers 3:6,193
Steinsaltz on Numbers 3:7,195
Steinsaltz on Numbers 3:8,197
Steinsaltz on Numbers 3:9,199
Steinsaltz on Numbers 3:10,201
Steinsaltz on Numbers 3:11,203
Steinsaltz on Numbers 3:12,205
Steinsaltz on Numbers 3:13,207
Steinsaltz on Numbers 3:14,209
Steinsaltz on Numbers 3:15,211
Steinsaltz on Numbers 3:16,213
Steinsaltz on Numbers 3:17,215
Steinsaltz on Numbers 3:18,217
Steinsaltz on Numbers 3:19,219
Steinsaltz on Numbers 3:20,221
Steinsaltz on Numbers 3:21,223
Steinsaltz on Numbers 3:22,225
Steinsaltz on Numbers 3:23,227
Steinsaltz on Numbers 3:24,229
Steinsaltz on Numbers 3:25,231
Steinsaltz on Numbers 3:26,233
Steinsaltz on Numbers 3:27,235
Steinsaltz on Numbers 3:28,237
Steinsaltz on Numbers 3:29,239
Steinsaltz on Numbers 3:30,241
Steinsaltz on Numbers 3:31,243
Steinsaltz on Numbers 3:32,245
Steinsaltz on Numbers 3:33,247
Steinsaltz on Numbers 3:34,249
Steinsaltz on Numbers 3:35,251
Steinsaltz on Numbers 3:36,253
Steinsaltz on Numbers 3:37,255
Steinsaltz on Numbers 3:38,257
Steinsaltz on Numbers 3:39,259
Steinsaltz on Numbers 3:40,261
Steinsaltz on Numbers 3:41,263
Steinsaltz on Numbers 3:42,265
Steinsaltz on Numbers 3:43,267
Steinsaltz on Numbers 3:44,269
Steinsaltz on Numbers 3:45,271
Steinsaltz on Numbers 3:46,273
Steinsaltz on Numbers 3:47,275
Steinsaltz on Numbers 3:48,277
Steinsaltz on Numbers 3:49,279
Steinsaltz on Numbers 3:50,281
Steinsaltz on Numbers 3:51,283
Steinsaltz on Numbers 4:1,286
Steinsaltz on Numbers 4:2,288
Steinsaltz on Numbers 4:3,290
Steinsaltz on Numbers 4:4,292
Steinsaltz on Numbers 4:5,294
Steinsaltz on Numbers 4:6,296
