ref,line_index
Steinsaltz on Genesis 1:1,5
Steinsaltz on Genesis 1:2,7
Steinsaltz on Genesis 1:3,9
Steinsaltz on Genesis 1:4,11
Steinsaltz on Genesis 1:5,13
Steinsaltz on Genesis 1:6,15
Steinsaltz on Genesis 1:7,17
Steinsaltz on Genesis 1:8,19
Steinsaltz on Genesis 1:9,21
Steinsaltz on Genesis 1:10,23
Steinsaltz on Genesis 1:11,25
Steinsaltz on Genesis 1:12,27
Steinsaltz on Genesis 1:13,29
Steinsaltz on Genesis 1:14,31
Steinsaltz on Genesis 1:15,33
Steinsaltz on Genesis 1:16,35
Steinsaltz on Genesis 1:17,37
Steinsaltz on Genesis 1:18,39
Steinsaltz on Genesis 1:19,41
Steinsaltz on Genesis 1:20,43
Steinsaltz on Genesis 1:21,45
Steinsaltz on Genesis 1:22,47
Steinsaltz on Genesis 1:23,49
Steinsaltz on Genesis 1:24,51
Steinsaltz on Genesis 1:25,53
Steinsaltz on Genesis 1:26,55
Steinsaltz on Genesis 1:27,57
Steinsaltz on Genesis 1:28,59
Steinsaltz on Genesis 1:29,61
Steinsaltz on Genesis 1:30,63
Steinsaltz on Genesis 1:31,65
Steinsaltz on Genesis 2:1,68
Steinsaltz on Genesis 2:2,70
Steinsaltz on Genesis 2:3,72
Steinsaltz on Genesis 2:4,74
Steinsaltz on Genesis 2:5,76
Steinsaltz on Genesis 2:6,78
Steinsaltz on Genesis 2:7,80
Steinsaltz on Genesis 2:8,82
Steinsaltz on Genesis 2:9,84
Steinsaltz on Genesis 2:10,86
Steinsaltz on Genesis 2:11,88
Steinsaltz on Genesis 2:12,90
Steinsaltz on Genesis 2:13,92
Steinsaltz on Genesis 2:14,94
Steinsaltz on Genesis 2:15,96
Steinsaltz on Genesis 2:16,98
Steinsaltz on Genesis 2:17,100
Steinsaltz on Genesis 2:18,102
Steinsaltz on Genesis 2:19,104
Steinsaltz on Genesis 2:20,106
Steinsaltz on Genesis 2:21,108
Steinsaltz on Genesis 2:22,110
Steinsaltz on Genesis 2:23,112
