ref,line_index
Steinsaltz on Exodus 1:1,5
Steinsaltz on Exodus 1:2,7
Steinsaltz on Exodus 1:3,9
Steinsaltz on Exodus 1:4,11
Steinsaltz on Exodus 1:5,13
Steinsaltz on Exodus 1:6,15
Steinsaltz on Exodus 1:7,17
Steinsaltz on Exodus 1:8,19
Steinsaltz on Exodus 1:9,21
Steinsaltz on Exodus 1:10,23
Steinsaltz on Exodus 1:11,25
Steinsaltz on Exodus 1:12,27
Steinsaltz on Exodus 1:13,29
Steinsaltz on Exodus 1:14,31
Steinsaltz on Exodus 1:15,33
Steinsaltz on Exodus 1:16,35
Steinsaltz on Exodus 1:17,37
Steinsaltz on Exodus 1:18,39
Steinsaltz on Exodus 1:19,41
Steinsaltz on Exodus 1:20,43
Steinsaltz on Exodus 1:21,45
Steinsaltz on Exodus 1:22,47
Steinsaltz on Exodus 2:1,50
Steinsaltz on Exodus 2:2,52
Steinsaltz on Exodus 2:3,54
Steinsaltz on Exodus 2:4,56
Steinsaltz on Exodus 2:5,58
Steinsaltz on Exodus 2:6,60
Steinsaltz on Exodus 2:7,62
Steinsaltz on Exodus 2:8,64
Steinsaltz on Exodus 2:9,66
Steinsaltz on Exodus 2:10,68
Steinsaltz on Exodus 2:11,70
Steinsaltz on Exodus 2:12,72
Steinsaltz on Exodus 2:13,74
Steinsaltz on Exodus 2:14,76
Steinsaltz on Exodus 2:15,78
Steinsaltz on Exodus 2:16,80
Steinsaltz on Exodus 2:17,82
Steinsaltz on Exodus 2:18,84
Steinsaltz on Exodus 2:19,86
Steinsaltz on Exodus 2:20,88
Steinsaltz on Exodus 2:21,90
Steinsaltz on Exodus 2:22,92
Steinsaltz on Exodus 2:23,94
Steinsaltz on Exodus 2:24,96
Steinsaltz on Exodus 2:25,98
Steinsaltz on Exodus 3:1,101
Steinsaltz on Exodus 3:2,103
Steinsaltz on Exodus 3:3,105
Steinsaltz on Exodus 3:4,107
Steinsaltz on Exodus 3:5,109
Steinsaltz on Exodus 3:6,111
Steinsaltz on Exodus 3:7,113
Steinsaltz on Exodus 3:8,115
Steinsaltz on Exodus 3:9,117
Steinsaltz on Exodus 3:10,119
Steinsaltz on Exodus 3:11,121
Steinsaltz on Exodus 3:12,123
Steinsaltz on Exodus 3:13,125
Steinsaltz on Exodus 3:14,127
Steinsaltz on Exodus 3:15,129
Steinsaltz on Exodus 3:16,131
Steinsaltz on Exodus 3:17,133
Steinsaltz on Exodus 3:18,135
Steinsaltz on Exodus 3:19,137
Steinsaltz on Exodus 3:20,139
Steinsaltz on Exodus 3:21,141
Steinsaltz on Exodus 3:22,143
Steinsaltz on Exodus 4:1,146
Steinsaltz on Exodus 4:2,148
Steinsaltz on Exodus 4:3,150
Steinsaltz on Exodus 4:4,152
Steinsaltz on Exodus 4:5,154
Steinsaltz on Exodus 4:6,156
Steinsaltz on Exodus 4:7,158
Steinsaltz on Exodus 4:8,160
Steinsaltz on Exodus 4:9,162
Steinsaltz on Exodus 4:10,164
Steinsaltz on Exodus 4:11,166
Steinsaltz on Exodus 4:12,168
Steinsaltz on Exodus 4:13,170
Steinsaltz on Exodus 4:14,172
Steinsaltz on Exodus 4:15,174
Steinsaltz on Exodus 4:16,176
Steinsaltz on Exodus 4:17,178
Steinsaltz on Exodus 4:18,180
Steinsaltz on Exodus 4:19,182
Steinsaltz on Exodus 4:20,184
Steinsaltz on Exodus 4:21,186
Steinsaltz on Exodus 4:22,188
Steinsaltz on Exodus 4:23,190
Steinsaltz on Exodus 4:24,192
Steinsaltz on Exodus 4:25,194
Steinsaltz on Exodus 4:26,196
Steinsaltz on Exodus 4:27,198
Steinsaltz on Exodus 4:28,200
Steinsaltz on Exodus 4:29,202
Steinsaltz on Exodus 4:30,204
Steinsaltz on Exodus 4:31,206
Steinsaltz on Exodus 5:1,209
Steinsaltz on Exodus 5:2,211
Steinsaltz on Exodus 5:3,213
Steinsaltz on Exodus 5:4,215
Steinsaltz on Exodus 5:5,217
Steinsaltz on Exodus 5:6,219
Steinsaltz on Exodus 5:7,221
Steinsaltz on Exodus 5:8,223
Steinsaltz on Exodus 5:9,225
Steinsaltz on Exodus 5:10,227
Steinsaltz on Exodus 5:11,229
Steinsaltz on Exodus 5:12,231
Steinsaltz on Exodus 5:13,233
Steinsaltz on Exodus 5:14,235
Steinsaltz on Exodus 5:15,237
Steinsaltz on Exodus 5:16,239
Steinsaltz on Exodus 5:17,241
Steinsaltz on Exodus 5:18,243
Steinsaltz on Exodus 5:19,245
Steinsaltz on Exodus 5:20,247
Steinsaltz on Exodus 5:21,249
Steinsaltz on Exodus 5:22,251
Steinsaltz on Exodus 5:23,253
Steinsaltz on Exodus 6:1,256
Steinsaltz on Exodus 6:2,258
Steinsaltz on Exodus 6:3,260
Steinsaltz on Exodus 6:4,262
Steinsaltz on Exodus 6:5,264
Steinsaltz on Exodus 6:6,266
Steinsaltz on Exodus 6:7,268
Steinsaltz on Exodus 6:8,270
Steinsaltz on Exodus 6:9,272
Steinsaltz on Exodus 6:10,274
Steinsaltz on Exodus 6:11,276
Steinsaltz on Exodus 6:12,278
Steinsaltz on Exodus 6:13,280
Steinsaltz on Exodus 6:14,282
Steinsaltz on Exodus 6:15,284
Steinsaltz on Exodus 6:16,286
Steinsaltz on Exodus 6:17,288
Steinsaltz on Exodus 6:18,290
Steinsaltz on Exodus 6:19,292
Steinsaltz on Exodus 6:20,294
Steinsaltz on Exodus 6:21,296
Steinsaltz on Exodus 6:22,298
Steinsaltz on Exodus 6:23,300
Steinsaltz on Exodus 6:24,302
Steinsaltz on Exodus 6:25,304
Steinsaltz on Exodus 6:26,306
Steinsaltz on Exodus 6:27,308
Steinsaltz on Exodus 6:28,310
Steinsaltz on Exodus 6:29,312
Steinsaltz on Exodus 6:30,314
Steinsaltz on Exodus 7:1,317
Steinsaltz on Exodus 7:2,319
Steinsaltz on Exodus 7:3,321
Steinsaltz on Exodus 7:4,323
Steinsaltz on Exodus 7:5,325
Steinsaltz on Exodus 7:6,327
Steinsaltz on Exodus 7:7,329
Steinsaltz on Exodus 7:8,331
Steinsaltz on Exodus 7:9,333
Steinsaltz on Exodus 7:10,335
Steinsaltz on Exodus 7:11,337
Steinsaltz on Exodus 7:12,339
Steinsaltz on Exodus 7:13,341
Steinsaltz on Exodus 7:14,343
Steinsaltz on Exodus 7:15,345
Steinsaltz on Exodus 7:16,347
Steinsaltz on Exodus 7:17,349
Steinsaltz on Exodus 7:18,351
Steinsaltz on Exodus 7:19,353
Steinsaltz on Exodus 7:20,355
Steinsaltz on Exodus 7:21,357
Steinsaltz on Exodus 7:22,359
Steinsaltz on Exodus 7:23,361
Steinsaltz on Exodus 7:24,363
Steinsaltz on Exodus 7:25,365
Steinsaltz on Exodus 7:26,367
Steinsaltz on Exodus 7:27,369
Steinsaltz on Exodus 7:28,371
Steinsaltz on Exodus 7:29,373
Steinsaltz on Exodus 8:1,376
Steinsaltz on Exodus 8:2,378
Steinsaltz on Exodus 8:3,380
Steinsaltz on Exodus 8:4,382
Steinsaltz on Exodus 8:5,384
Steinsaltz on Exodus 8:6,386
Steinsaltz on Exodus 8:7,388
Steinsaltz on Exodus 8:8,390
Steinsaltz on Exodus 8:9,392
Steinsaltz on Exodus 8:10,394
Steinsaltz on Exodus 8:11,396
Steinsaltz on Exodus 8:12,398
Steinsaltz on Exodus 8:13,400
Steinsaltz on Exodus 8:14,402
Steinsaltz on Exodus 8:15,404
Steinsaltz on Exodus 8:16,406
Steinsaltz on Exodus 8:17,408
Steinsaltz on Exodus 8:18,410
Steinsaltz on Exodus 8:19,412
Steinsaltz on Exodus 8:20,414
Steinsaltz on Exodus 8:21,416
Steinsaltz on Exodus 8:22,418
Steinsaltz on Exodus 8:23,420
Steinsaltz on Exodus 8:24,422
Steinsaltz on Exodus 8:25,424
Steinsaltz on Exodus 8:26,426
Steinsaltz on Exodus 8:27,428
Steinsaltz on Exodus 8:28,430
Steinsaltz on Exodus 9:1,433
Steinsaltz on Exodus 9:2,435
Steinsaltz on Exodus 9:3,437
Steinsaltz on Exodus 9:4,439
Steinsaltz on Exodus 9:5,441
Steinsaltz on Exodus 9:6,443
Steinsaltz on Exodus 9:7,445
Steinsaltz on Exodus 9:8,447
Steinsaltz on Exodus 9:9,449
Steinsaltz on Exodus 9:10,451
Steinsaltz on Exodus 9:11,453
Steinsaltz on Exodus 9:12,455
Steinsaltz on Exodus 9:13,457
Steinsaltz on Exodus 9:14,459
Steinsaltz on Exodus 9:15,461
Steinsaltz on Exodus 9:16,463
Steinsaltz on Exodus 9:17,465
Steinsaltz on Exodus 9:18,467
Steinsaltz on Exodus 9:19,469
Steinsaltz on Exodus 9:20,471
Steinsaltz on Exodus 9:21,473
Steinsaltz on Exodus 9:22,475
Steinsaltz on Exodus 9:23,477
