ref,line_index
Ibn Ezra HaKatzar on Exodus 1:1:1,5
Ibn Ezra HaKatzar on Exodus 1:7:1,7
Ibn Ezra HaKatzar on Exodus 1:7:2,8
Ibn Ezra HaKatzar on Exodus 1:8:1,10
Ibn Ezra HaKatzar on Exodus 1:10:1,12
Ibn Ezra HaKatzar on Exodus 1:10:2,13
Ibn Ezra HaKatzar on Exodus 1:10:3,14
Ibn Ezra HaKatzar on Exodus 1:11:1,16
Ibn Ezra HaKatzar on Exodus 1:11:2,17
Ibn Ezra HaKatzar on Exodus 1:11:3,18
Ibn Ezra HaKatzar on Exodus 1:11:4,19
Ibn Ezra HaKatzar on Exodus 1:12:1,21
Ibn Ezra HaKatzar on Exodus 1:12:2,22
Ibn Ezra HaKatzar on Exodus 1:13:1,24
Ibn Ezra HaKatzar on Exodus 1:15:1,26
Ibn Ezra HaKatzar on Exodus 1:16:1,28
Ibn Ezra HaKatzar on Exodus 1:19:1,30
Ibn Ezra HaKatzar on Exodus 1:21:1,32
Ibn Ezra HaKatzar on Exodus 1:22:1,34
Ibn Ezra HaKatzar on Exodus 2:1:1,37
Ibn Ezra HaKatzar on Exodus 2:2:1,39
Ibn Ezra HaKatzar on Exodus 2:2:2,40
Ibn Ezra HaKatzar on Exodus 2:2:3,41
Ibn Ezra HaKatzar on Exodus 2:3:1,43
Ibn Ezra HaKatzar on Exodus 2:3:2,44
Ibn Ezra HaKatzar on Exodus 2:3:3,45
Ibn Ezra HaKatzar on Exodus 2:4:1,47
Ibn Ezra HaKatzar on Exodus 2:4:2,48
Ibn Ezra HaKatzar on Exodus 2:5:1,50
Ibn Ezra HaKatzar on Exodus 2:5:2,51
Ibn Ezra HaKatzar on Exodus 2:5:3,52
Ibn Ezra HaKatzar on Exodus 2:6:1,54
Ibn Ezra HaKatzar on Exodus 2:9:1,56
Ibn Ezra HaKatzar on Exodus 2:9:2,57
Ibn Ezra HaKatzar on Exodus 2:9:3,58
Ibn Ezra HaKatzar on Exodus 2:12:1,60
Ibn Ezra HaKatzar on Exodus 2:13:1,62
Ibn Ezra HaKatzar on Exodus 2:13:2,63
Ibn Ezra HaKatzar on Exodus 2:14:1,65
Ibn Ezra HaKatzar on Exodus 2:14:2,66
Ibn Ezra HaKatzar on Exodus 2:15:1,68
Ibn Ezra HaKatzar on Exodus 2:17:1,70
Ibn Ezra HaKatzar on Exodus 2:17:2,71
Ibn Ezra HaKatzar on Exodus 2:20:1,73
Ibn Ezra HaKatzar on Exodus 2:22:1,75
Ibn Ezra HaKatzar on Exodus 2:23:1,77
Ibn Ezra HaKatzar on Exodus 2:25:1,79
Ibn Ezra HaKatzar on Exodus 3:1:1,82
Ibn Ezra HaKatzar on Exodus 3:1:2,83
Ibn Ezra HaKatzar on Exodus 3:2:1,85
Ibn Ezra HaKatzar on Exodus 3:4:1,87
Ibn Ezra HaKatzar on Exodus 3:6:1,89
Ibn Ezra HaKatzar on Exodus 3:7:1,91
Ibn Ezra HaKatzar on Exodus 3:12:1,93
Ibn Ezra HaKatzar on Exodus 3:12:2,94
Ibn Ezra HaKatzar on Exodus 3:13:1,96
Ibn Ezra HaKatzar on Exodus 3:18:1,98
Ibn Ezra HaKatzar on Exodus 3:18:2,99
Ibn Ezra HaKatzar on Exodus 3:18:3,100
Ibn Ezra HaKatzar on Exodus 3:20:1,102
Ibn Ezra HaKatzar on Exodus 3:21:1,104
Ibn Ezra HaKatzar on Exodus 3:21:2,105
Ibn Ezra HaKatzar on Exodus 4:5:1,108
Ibn Ezra HaKatzar on Exodus 4:8:1,110
Ibn Ezra HaKatzar on Exodus 4:8:2,111
Ibn Ezra HaKatzar on Exodus 4:10:1,113
Ibn Ezra HaKatzar on Exodus 4:10:2,114
Ibn Ezra HaKatzar on Exodus 4:10:3,115
Ibn Ezra HaKatzar on Exodus 4:10:4,116
Ibn Ezra HaKatzar on Exodus 4:10:5,117
Ibn Ezra HaKatzar on Exodus 4:11:1,119
Ibn Ezra HaKatzar on Exodus 4:13:1,121
Ibn Ezra HaKatzar on Exodus 4:14:1,123
Ibn Ezra HaKatzar on Exodus 4:14:2,124
Ibn Ezra HaKatzar on Exodus 4:16:1,126
Ibn Ezra HaKatzar on Exodus 4:17:1,128
Ibn Ezra HaKatzar on Exodus 4:18:1,130
