ref,line_index
"Eshkol HaKofer on Ruth, Introduction 1",4
"Eshkol HaKofer on Ruth, Introduction 2",5
Eshkol HaKofer on Ruth 1:1:1,8
Eshkol HaKofer on Ruth 1:1:2,9
Eshkol HaKofer on Ruth 1:1:3,10
Eshkol HaKofer on Ruth 1:1:4,11
Eshkol HaKofer on Ruth 1:1:5,12
Eshkol HaKofer on Ruth 1:2:1,14
Eshkol HaKofer on Ruth 1:2:2,15
Eshkol HaKofer on Ruth 1:2:3,16
Eshkol HaKofer on Ruth 1:2:4,17
Eshkol HaKofer on Ruth 1:2:5,18
Eshkol HaKofer on Ruth 1:3:1,20
Eshkol HaKofer on Ruth 1:4:1,22
Eshkol HaKofer on Ruth 1:5:1,24
Eshkol HaKofer on Ruth 1:6:1,26
Eshkol HaKofer on Ruth 1:8:1,28
Eshkol HaKofer on Ruth 1:8:2,29
Eshkol HaKofer on Ruth 1:8:3,30
Eshkol HaKofer on Ruth 1:8:4,31
Eshkol HaKofer on Ruth 1:9:1,33
Eshkol HaKofer on Ruth 1:9:2,34
Eshkol HaKofer on Ruth 1:10:1,36
Eshkol HaKofer on Ruth 1:14:1,38
Eshkol HaKofer on Ruth 1:16:1,40
Eshkol HaKofer on Ruth 1:17:1,42
Eshkol HaKofer on Ruth 1:18:1,44
Eshkol HaKofer on Ruth 1:19:1,46
Eshkol HaKofer on Ruth 1:20:1,48
Eshkol HaKofer on Ruth 1:20:2,49
Eshkol HaKofer on Ruth 1:21:1,51
Eshkol HaKofer on Ruth 1:22:1,53
Eshkol HaKofer on Ruth 1:22:2,54
Eshkol HaKofer on Ruth 2:1:1,57
Eshkol HaKofer on Ruth 2:1:2,58
Eshkol HaKofer on Ruth 2:2:1,60
Eshkol HaKofer on Ruth 2:3:1,62
Eshkol HaKofer on Ruth 2:3:2,63
Eshkol HaKofer on Ruth 2:4:1,65
Eshkol HaKofer on Ruth 2:4:2,66
Eshkol HaKofer on Ruth 2:5:1,68
Eshkol HaKofer on Ruth 2:8:1,70
Eshkol HaKofer on Ruth 2:8:2,71
Eshkol HaKofer on Ruth 2:8:3,72
Eshkol HaKofer on Ruth 2:9:1,74
Eshkol HaKofer on Ruth 2:11:1,76
Eshkol HaKofer on Ruth 2:12:1,78
Eshkol HaKofer on Ruth 2:12:2,79
Eshkol HaKofer on Ruth 2:13:1,81
Eshkol HaKofer on Ruth 2:14:1,83
Eshkol HaKofer on Ruth 2:14:2,84
Eshkol HaKofer on Ruth 2:15:1,86
Eshkol HaKofer on Ruth 2:18:1,88
Eshkol HaKofer on Ruth 2:19:1,90
Eshkol HaKofer on Ruth 2:19:2,91
Eshkol HaKofer on Ruth 2:20:1,93
Eshkol HaKofer on Ruth 2:21:1,95
Eshkol HaKofer on Ruth 2:22:1,97
Eshkol HaKofer on Ruth 2:23:1,99
Eshkol HaKofer on Ruth 3:1:1,102
Eshkol HaKofer on Ruth 3:2:1,104
Eshkol HaKofer on Ruth 3:3:1,106
Eshkol HaKofer on Ruth 3:4:1,108
Eshkol HaKofer on Ruth 3:6:1,110
Eshkol HaKofer on Ruth 3:7:1,112
Eshkol HaKofer on Ruth 3:8:1,114
Eshkol HaKofer on Ruth 3:9:1,116
Eshkol HaKofer on Ruth 3:10:1,118
Eshkol HaKofer on Ruth 3:11:1,120
Eshkol HaKofer on Ruth 3:11:2,121
Eshkol HaKofer on Ruth 3:14:1,123
Eshkol HaKofer on Ruth 3:14:2,124
Eshkol HaKofer on Ruth 3:15:1,126
Eshkol HaKofer on Ruth 3:16:1,128
Eshkol HaKofer on Ruth 3:18:1,130
Eshkol HaKofer on Ruth 4:1:1,133
Eshkol HaKofer on Ruth 4:2:1,135
Eshkol HaKofer on Ruth 4:4:1,137
Eshkol HaKofer on Ruth 4:5:1,139
Eshkol HaKofer on Ruth 4:6:1,141
Eshkol HaKofer on Ruth 4:7:1,143
Eshkol HaKofer on Ruth 4:9:1,145
Eshkol HaKofer on Ruth 4:11:1,147
Eshkol HaKofer on Ruth 4:12:1,149
Eshkol HaKofer on Ruth 4:13:1,151
Eshkol HaKofer on Ruth 4:14:1,153
Eshkol HaKofer on Ruth 4:15:1,155
Eshkol HaKofer on Ruth 4:17:1,157
Eshkol HaKofer on Ruth 4:17:2,158
Eshkol HaKofer on Ruth 4:18:1,160
Eshkol HaKofer on Ruth 4:18:2,161
Eshkol HaKofer on Ruth 4:18:3,162
Eshkol HaKofer on Ruth 4:18:4,163
Eshkol HaKofer on Ruth 4:18:5,164
