ref,line_index
"Od Yosef Chai; Halakhot, Bereshit 1:1",5
"Od Yosef Chai; Halakhot, Bereshit 1:2",6
"Od Yosef Chai; Halakhot, Bereshit 1:3",7
"Od Yosef Chai; Halakhot, Bereshit 1:4",8
"Od Yosef Chai; Halakhot, Bereshit 1:5",9
"Od Yosef Chai; Halakhot, Bereshit 1:6",10
"Od Yosef Chai; Halakhot, Bereshit 2:1",12
"Od Yosef Chai; Halakhot, Bereshit 3:1",14
"Od Yosef Chai; Halakhot, Bereshit 4:1",16
"Od Yosef Chai; Halakhot, Bereshit 4:2",17
"Od Yosef Chai; Halakhot, Bereshit 5:1",19
"Od Yosef Chai; Halakhot, Bereshit 6:1",21
"Od Yosef Chai; Halakhot, Bereshit 6:2",22
"Od Yosef Chai; Halakhot, Bereshit 6:3",23
"Od Yosef Chai; Halakhot, Bereshit 7:1",25
"Od Yosef Chai; Halakhot, Bereshit 8:1",27
"Od Yosef Chai; Halakhot, Bereshit 9:1",29
"Od Yosef Chai; Halakhot, Bereshit 10:1",31
"Od Yosef Chai; Halakhot, Bereshit 10:2",32
"Od Yosef Chai; Halakhot, Bereshit 10:3",33
"Od Yosef Chai; Halakhot, Bereshit 10:4",34
"Od Yosef Chai; Halakhot, Bereshit 11:1",36
"Od Yosef Chai; Halakhot, Noach 1:1",39
"Od Yosef Chai; Halakhot, Noach 2:1",41
"Od Yosef Chai; Halakhot, Noach 3:1",43
"Od Yosef Chai; Halakhot, Noach 4:1",45
"Od Yosef Chai; Halakhot, Noach 5:1",47
"Od Yosef Chai; Halakhot, Noach 6:1",49
"Od Yosef Chai; Halakhot, Noach 6:2",50
"Od Yosef Chai; Halakhot, Noach 7:1",52
"Od Yosef Chai; Halakhot, Noach 8:1",54
"Od Yosef Chai; Halakhot, Noach 9:1",56
"Od Yosef Chai; Halakhot, Noach 10:1",58
"Od Yosef Chai; Halakhot, Noach 11:1",60
"Od Yosef Chai; Halakhot, Noach 12:1",62
"Od Yosef Chai; Halakhot, Noach 13:1",64
"Od Yosef Chai; Halakhot, Noach 13:2",65
"Od Yosef Chai; Halakhot, Noach 14:1",67
"Od Yosef Chai; Halakhot, Noach 15:1",69
"Od Yosef Chai; Halakhot, Noach 16:1",71
"Od Yosef Chai; Halakhot, Noach 17:1",73
"Od Yosef Chai; Halakhot, Noach 18:1",75
"Od Yosef Chai; Halakhot, Noach 18:2",76
"Od Yosef Chai; Halakhot, Noach 18:3",77
"Od Yosef Chai; Halakhot, Noach 19:1",79
"Od Yosef Chai; Halakhot, Noach 19:2",80
"Od Yosef Chai; Halakhot, Noach 19:3",81
"Od Yosef Chai; Halakhot, Noach 19:4",82
"Od Yosef Chai; Halakhot, Noach 19:5",83
"Od Yosef Chai; Halakhot, Noach 19:6",84
"Od Yosef Chai; Halakhot, Noach 19:7",85
"Od Yosef Chai; Halakhot, Noach 19:8",86
"Od Yosef Chai; Halakhot, Noach 19:9",87
"Od Yosef Chai; Halakhot, Noach 19:10",88
"Od Yosef Chai; Halakhot, Noach 19:11",89
"Od Yosef Chai; Halakhot, Noach 19:12",90
"Od Yosef Chai; Halakhot, Noach 19:13",91
"Od Yosef Chai; Halakhot, Noach 19:14",92
"Od Yosef Chai; Halakhot, Noach 19:15",93
"Od Yosef Chai; Halakhot, Noach 19:16",94
"Od Yosef Chai; Halakhot, Lech Lecha 1:1",97
"Od Yosef Chai; Halakhot, Lech Lecha 1:2",98
"Od Yosef Chai; Halakhot, Lech Lecha 1:3",99
"Od Yosef Chai; Halakhot, Lech Lecha 2:1",101
"Od Yosef Chai; Halakhot, Lech Lecha 3:1",103
"Od Yosef Chai; Halakhot, Lech Lecha 3:2",104
"Od Yosef Chai; Halakhot, Lech Lecha 4:1",106
"Od Yosef Chai; Halakhot, Lech Lecha 5:1",108
"Od Yosef Chai; Halakhot, Vayera 1:1",111
"Od Yosef Chai; Halakhot, Vayera 2:1",113
"Od Yosef Chai; Halakhot, Vayera 3:1",115
"Od Yosef Chai; Halakhot, Vayera 4:1",117
"Od Yosef Chai; Halakhot, Vayera 5:1",119
"Od Yosef Chai; Halakhot, Vayera 5:2",120
"Od Yosef Chai; Halakhot, Vayera 5:3",121
"Od Yosef Chai; Halakhot, Vayera 5:4",122
"Od Yosef Chai; Halakhot, Vayera 5:5",123
"Od Yosef Chai; Halakhot, Vayera 6:1",125
"Od Yosef Chai; Halakhot, Vayera 7:1",127
"Od Yosef Chai; Halakhot, Vayera 8:1",129
"Od Yosef Chai; Halakhot, Vayera 8:2",130
"Od Yosef Chai; Halakhot, Vayera 9:1",132
"Od Yosef Chai; Halakhot, Vayera 10:1",134
"Od Yosef Chai; Halakhot, Vayera 10:2",135
"Od Yosef Chai; Halakhot, Vayera 11:1",137
"Od Yosef Chai; Halakhot, Vayera 12:1",139
"Od Yosef Chai; Halakhot, Vayera 13:1",141
"Od Yosef Chai; Halakhot, Vayera 14:1",143
"Od Yosef Chai; Halakhot, Vayera 15:1",145
"Od Yosef Chai; Halakhot, Vayera 16:1",147
"Od Yosef Chai; Halakhot, Vayera 17:1",149
"Od Yosef Chai; Halakhot, Vayera 18:1",151
"Od Yosef Chai; Halakhot, Vayera 19:1",153
"Od Yosef Chai; Halakhot, Vayera 19:2",154
"Od Yosef Chai; Halakhot, Vayera 20:1",156
"Od Yosef Chai; Halakhot, Vayera 21:1",158
"Od Yosef Chai; Halakhot, Vayera 22:1",160
"Od Yosef Chai; Halakhot, Vayera 23:1",162
"Od Yosef Chai; Halakhot, Chayei Sara 1:1",165
"Od Yosef Chai; Halakhot, Chayei Sara 2:1",167
"Od Yosef Chai; Halakhot, Chayei Sara 3:1",169
"Od Yosef Chai; Halakhot, Chayei Sara 3:2",170
"Od Yosef Chai; Halakhot, Chayei Sara 3:3",171
"Od Yosef Chai; Halakhot, Chayei Sara 3:4",172
"Od Yosef Chai; Halakhot, Chayei Sara 3:5",173
"Od Yosef Chai; Halakhot, Chayei Sara 3:6",174
"Od Yosef Chai; Halakhot, Chayei Sara 3:7",175
"Od Yosef Chai; Halakhot, Chayei Sara 4:1",177
"Od Yosef Chai; Halakhot, Chayei Sara 5:1",179
"Od Yosef Chai; Halakhot, Chayei Sara 5:2",180
"Od Yosef Chai; Halakhot, Chayei Sara 5:3",181
"Od Yosef Chai; Halakhot, Chayei Sara 5:4",182
"Od Yosef Chai; Halakhot, Chayei Sara 6:1",184
"Od Yosef Chai; Halakhot, Chayei Sara 7:1",186
"Od Yosef Chai; Halakhot, Chayei Sara 8:1",188
"Od Yosef Chai; Halakhot, Chayei Sara 8:2",189
"Od Yosef Chai; Halakhot, Chayei Sara 9:1",191
"Od Yosef Chai; Halakhot, Chayei Sara 10:1",193
"Od Yosef Chai; Halakhot, Chayei Sara 11:1",195
"Od Yosef Chai; Halakhot, Chayei Sara 12:1",197
"Od Yosef Chai; Halakhot, Chayei Sara 12:2",198
"Od Yosef Chai; Halakhot, Chayei Sara 13:1",200
"Od Yosef Chai; Halakhot, Chayei Sara 14:1",202
"Od Yosef Chai; Halakhot, Chayei Sara 15:1",204
