ref,line_index
Ya'arot Devash I 1:1,4
Ya'arot Devash I 1:2,5
Ya'arot Devash I 1:3,6
Ya'arot Devash I 1:4,7
Ya'arot Devash I 1:5,8
Ya'arot Devash I 1:6,9
Ya'arot Devash I 1:7,10
Ya'arot Devash I 1:8,11
Ya'arot Devash I 1:9,12
Ya'arot Devash I 1:10,13
Ya'arot Devash I 1:11,14
Ya'arot Devash I 1:12,15
Ya'arot Devash I 1:13,16
Ya'arot Devash I 1:14,17
Ya'arot Devash I 1:15,18
Ya'arot Devash I 1:16,19
Ya'arot Devash I 1:17,20
Ya'arot Devash I 1:18,21
Ya'arot Devash I 1:19,22
Ya'arot Devash I 1:20,23
Ya'arot Devash I 1:21,24
Ya'arot Devash I 1:22,25
Ya'arot Devash I 1:23,26
Ya'arot Devash I 1:24,27
Ya'arot Devash I 1:25,28
Ya'arot Devash I 1:26,29
Ya'arot Devash I 1:27,30
Ya'arot Devash I 1:28,31
Ya'arot Devash I 1:29,32
Ya'arot Devash I 1:30,33
Ya'arot Devash I 1:31,34
Ya'arot Devash I 2:1,36
Ya'arot Devash I 2:2,37
Ya'arot Devash I 2:3,38
Ya'arot Devash I 2:4,39
Ya'arot Devash I 2:5,40
Ya'arot Devash I 2:6,41
Ya'arot Devash I 2:7,42
Ya'arot Devash I 2:8,43
Ya'arot Devash I 2:9,44
Ya'arot Devash I 2:10,45
Ya'arot Devash I 2:11,46
Ya'arot Devash I 2:12,47
Ya'arot Devash I 2:13,48
Ya'arot Devash I 2:14,49
Ya'arot Devash I 2:15,50
Ya'arot Devash I 2:16,51
Ya'arot Devash I 3:1,53
Ya'arot Devash I 3:2,54
Ya'arot Devash I 3:3,55
Ya'arot Devash I 3:4,56
Ya'arot Devash I 3:5,57
Ya'arot Devash I 3:6,58
Ya'arot Devash I 3:7,59
Ya'arot Devash I 3:8,60
Ya'arot Devash I 3:9,61
Ya'arot Devash I 3:10,62
Ya'arot Devash I 3:11,63
Ya'arot Devash I 3:12,64
Ya'arot Devash I 3:13,65
Ya'arot Devash I 3:14,66
Ya'arot Devash I 3:15,67
Ya'arot Devash I 3:16,68
Ya'arot Devash I 3:17,69
Ya'arot Devash I 4:1,71
Ya'arot Devash I 4:2,72
Ya'arot Devash I 4:3,73
Ya'arot Devash I 4:4,74
Ya'arot Devash I 4:5,75
Ya'arot Devash I 4:6,76
Ya'arot Devash I 4:7,77
Ya'arot Devash I 4:8,78
Ya'arot Devash I 5:1,80
Ya'arot Devash I 5:2,81
Ya'arot Devash I 5:3,82
Ya'arot Devash I 5:4,83
Ya'arot Devash I 5:5,84
Ya'arot Devash I 5:6,85
Ya'arot Devash I 5:7,86
Ya'arot Devash I 5:8,87
Ya'arot Devash I 6:1,89
Ya'arot Devash I 6:2,90
Ya'arot Devash I 6:3,91
Ya'arot Devash I 6:4,92
Ya'arot Devash I 6:5,93
Ya'arot Devash I 6:6,94
Ya'arot Devash I 6:7,95
Ya'arot Devash I 6:8,96
Ya'arot Devash I 6:9,97
Ya'arot Devash I 6:10,98
Ya'arot Devash I 6:11,99
Ya'arot Devash I 6:12,100
Ya'arot Devash I 7:1,102
Ya'arot Devash I 7:2,103
Ya'arot Devash I 7:3,104
Ya'arot Devash I 7:4,105
Ya'arot Devash I 7:5,106
Ya'arot Devash I 7:6,107
Ya'arot Devash I 7:7,108
Ya'arot Devash I 7:8,109
Ya'arot Devash I 7:9,110
Ya'arot Devash I 7:10,111
Ya'arot Devash I 7:11,112
Ya'arot Devash I 7:12,113
Ya'arot Devash I 7:13,114
Ya'arot Devash I 7:14,115
Ya'arot Devash I 7:15,116
Ya'arot Devash I 8:1,118
Ya'arot Devash I 8:2,119
Ya'arot Devash I 8:3,120
Ya'arot Devash I 8:4,121
Ya'arot Devash I 8:5,122
Ya'arot Devash I 8:6,123
Ya'arot Devash I 8:7,124
Ya'arot Devash I 8:8,125
Ya'arot Devash I 8:9,126
Ya'arot Devash I 8:10,127
Ya'arot Devash I 8:11,128
Ya'arot Devash I 8:12,129
Ya'arot Devash I 8:13,130
Ya'arot Devash I 8:14,131
Ya'arot Devash I 8:15,132
Ya'arot Devash I 8:16,133
Ya'arot Devash I 8:17,134
Ya'arot Devash I 8:18,135
Ya'arot Devash I 8:19,136
Ya'arot Devash I 9:1,138
Ya'arot Devash I 9:2,139
Ya'arot Devash I 9:3,140
Ya'arot Devash I 9:4,141
Ya'arot Devash I 9:5,142
Ya'arot Devash I 9:6,143
Ya'arot Devash I 9:7,144
Ya'arot Devash I 9:8,145
Ya'arot Devash I 10:1,147
Ya'arot Devash I 10:2,148
Ya'arot Devash I 10:3,149
Ya'arot Devash I 10:4,150
Ya'arot Devash I 10:5,151
Ya'arot Devash I 10:6,152
Ya'arot Devash I 10:7,153
Ya'arot Devash I 10:8,154
Ya'arot Devash I 10:9,155
Ya'arot Devash I 10:10,156
Ya'arot Devash I 11:1,158
Ya'arot Devash I 11:2,159
Ya'arot Devash I 11:3,160
Ya'arot Devash I 11:4,161
Ya'arot Devash I 11:5,162
Ya'arot Devash I 11:6,163
Ya'arot Devash I 12:1,165
Ya'arot Devash I 12:2,166
Ya'arot Devash I 12:3,167
Ya'arot Devash I 12:4,168
Ya'arot Devash I 12:5,169
Ya'arot Devash I 12:6,170
Ya'arot Devash I 12:7,171
Ya'arot Devash I 12:8,172
Ya'arot Devash I 13:1,174
Ya'arot Devash I 13:2,175
Ya'arot Devash I 13:3,176
Ya'arot Devash I 13:4,177
Ya'arot Devash I 13:5,178
Ya'arot Devash I 13:6,179
Ya'arot Devash I 13:7,180
Ya'arot Devash I 13:8,181
Ya'arot Devash I 13:9,182
Ya'arot Devash I 14:1,184
Ya'arot Devash I 14:2,185
Ya'arot Devash I 14:3,186
Ya'arot Devash I 14:4,187
Ya'arot Devash I 14:5,188
Ya'arot Devash I 14:6,189
Ya'arot Devash I 14:7,190
Ya'arot Devash I 15:1,192
Ya'arot Devash I 15:2,193
