ref,line_index
Ya'arot Devash II 1:1,4
Ya'arot Devash II 1:2,5
Ya'arot Devash II 1:3,6
Ya'arot Devash II 1:4,7
Ya'arot Devash II 1:5,8
Ya'arot Devash II 1:6,9
Ya'arot Devash II 1:7,10
Ya'arot Devash II 1:8,11
Ya'arot Devash II 1:9,12
Ya'arot Devash II 1:10,13
Ya'arot Devash II 1:11,14
Ya'arot Devash II 1:12,15
Ya'arot Devash II 1:13,16
Ya'arot Devash II 1:14,17
Ya'arot Devash II 1:15,18
Ya'arot Devash II 1:16,19
Ya'arot Devash II 1:17,20
Ya'arot Devash II 1:18,21
Ya'arot Devash II 1:19,22
Ya'arot Devash II 1:20,23
Ya'arot Devash II 1:21,24
Ya'arot Devash II 1:22,25
Ya'arot Devash II 1:23,26
Ya'arot Devash II 1:24,27
Ya'arot Devash II 1:25,28
Ya'arot Devash II 1:26,29
Ya'arot Devash II 1:27,30
Ya'arot Devash II 1:28,31
Ya'arot Devash II 1:29,32
Ya'arot Devash II 1:30,33
Ya'arot Devash II 1:31,34
Ya'arot Devash II 1:32,35
Ya'arot Devash II 1:33,36
Ya'arot Devash II 1:34,37
Ya'arot Devash II 1:35,38
Ya'arot Devash II 1:36,39
Ya'arot Devash II 1:37,40
Ya'arot Devash II 1:38,41
Ya'arot Devash II 1:39,42
Ya'arot Devash II 1:40,43
Ya'arot Devash II 2:1,45
Ya'arot Devash II 2:2,46
Ya'arot Devash II 2:3,47
Ya'arot Devash II 2:4,48
Ya'arot Devash II 2:5,49
Ya'arot Devash II 2:6,50
Ya'arot Devash II 2:7,51
Ya'arot Devash II 2:8,52
Ya'arot Devash II 2:9,53
Ya'arot Devash II 2:10,54
Ya'arot Devash II 2:11,55
Ya'arot Devash II 2:12,56
Ya'arot Devash II 2:13,57
Ya'arot Devash II 2:14,58
Ya'arot Devash II 2:15,59
Ya'arot Devash II 2:16,60
Ya'arot Devash II 2:17,61
Ya'arot Devash II 2:18,62
Ya'arot Devash II 2:19,63
Ya'arot Devash II 2:20,64
Ya'arot Devash II 2:21,65
Ya'arot Devash II 2:22,66
Ya'arot Devash II 2:23,67
Ya'arot Devash II 2:24,68
Ya'arot Devash II 2:25,69
Ya'arot Devash II 2:26,70
Ya'arot Devash II 2:27,71
Ya'arot Devash II 2:28,72
Ya'arot Devash II 2:29,73
Ya'arot Devash II 2:30,74
Ya'arot Devash II 2:31,75
Ya'arot Devash II 2:32,76
Ya'arot Devash II 2:33,77
Ya'arot Devash II 2:34,78
Ya'arot Devash II 2:35,79
Ya'arot Devash II 2:36,80
Ya'arot Devash II 2:37,81
Ya'arot Devash II 2:38,82
Ya'arot Devash II 2:39,83
Ya'arot Devash II 2:40,84
Ya'arot Devash II 2:41,85
Ya'arot Devash II 2:42,86
Ya'arot Devash II 2:43,87
Ya'arot Devash II 2:44,88
Ya'arot Devash II 2:45,89
Ya'arot Devash II 2:46,90
Ya'arot Devash II 2:47,91
Ya'arot Devash II 2:48,92
Ya'arot Devash II 2:49,93
Ya'arot Devash II 2:50,94
Ya'arot Devash II 2:51,95
Ya'arot Devash II 2:52,96
Ya'arot Devash II 2:53,97
Ya'arot Devash II 2:54,98
Ya'arot Devash II 2:55,99
Ya'arot Devash II 2:56,100
Ya'arot Devash II 2:57,101
Ya'arot Devash II 2:58,102
Ya'arot Devash II 2:59,103
Ya'arot Devash II 2:60,104
Ya'arot Devash II 2:61,105
Ya'arot Devash II 2:62,106
Ya'arot Devash II 2:63,107
Ya'arot Devash II 2:64,108
Ya'arot Devash II 2:65,109
Ya'arot Devash II 2:66,110
Ya'arot Devash II 2:67,111
Ya'arot Devash II 2:68,112
Ya'arot Devash II 2:69,113
Ya'arot Devash II 2:70,114
Ya'arot Devash II 2:71,115
Ya'arot Devash II 2:72,116
Ya'arot Devash II 3:1,118
Ya'arot Devash II 3:2,119
Ya'arot Devash II 3:3,120
Ya'arot Devash II 3:4,121
Ya'arot Devash II 3:5,122
Ya'arot Devash II 3:6,123
Ya'arot Devash II 3:7,124
Ya'arot Devash II 3:8,125
Ya'arot Devash II 3:9,126
Ya'arot Devash II 3:10,127
Ya'arot Devash II 3:11,128
Ya'arot Devash II 3:12,129
Ya'arot Devash II 3:13,130
Ya'arot Devash II 3:14,131
Ya'arot Devash II 3:15,132
Ya'arot Devash II 3:16,133
Ya'arot Devash II 3:17,134
Ya'arot Devash II 3:18,135
Ya'arot Devash II 3:19,136
Ya'arot Devash II 3:20,137
Ya'arot Devash II 3:21,138
Ya'arot Devash II 3:22,139
Ya'arot Devash II 3:23,140
Ya'arot Devash II 3:24,141
Ya'arot Devash II 3:25,142
Ya'arot Devash II 3:26,143
Ya'arot Devash II 3:27,144
Ya'arot Devash II 3:28,145
Ya'arot Devash II 3:29,146
Ya'arot Devash II 3:30,147
Ya'arot Devash II 3:31,148
Ya'arot Devash II 3:32,149
Ya'arot Devash II 3:33,150
Ya'arot Devash II 3:34,151
Ya'arot Devash II 3:35,152
Ya'arot Devash II 3:36,153
Ya'arot Devash II 3:37,154
Ya'arot Devash II 3:38,155
Ya'arot Devash II 3:39,156
Ya'arot Devash II 3:40,157
Ya'arot Devash II 3:41,158
Ya'arot Devash II 3:42,159
Ya'arot Devash II 3:43,160
Ya'arot Devash II 3:44,161
Ya'arot Devash II 3:45,162
Ya'arot Devash II 3:46,163
Ya'arot Devash II 3:47,164
Ya'arot Devash II 3:48,165
Ya'arot Devash II 3:49,166
Ya'arot Devash II 3:50,167
Ya'arot Devash II 3:51,168
Ya'arot Devash II 3:52,169
Ya'arot Devash II 3:53,170
Ya'arot Devash II 3:54,171
Ya'arot Devash II 3:55,172
Ya'arot Devash II 3:56,173
Ya'arot Devash II 3:57,174
Ya'arot Devash II 3:58,175
Ya'arot Devash II 4:1,177
Ya'arot Devash II 4:2,178
Ya'arot Devash II 4:3,179
Ya'arot Devash II 4:4,180
Ya'arot Devash II 4:5,181
Ya'arot Devash II 4:6,182
Ya'arot Devash II 4:7,183
Ya'arot Devash II 4:8,184
Ya'arot Devash II 4:9,185
Ya'arot Devash II 4:10,186
Ya'arot Devash II 4:11,187
Ya'arot Devash II 4:12,188
Ya'arot Devash II 4:13,189
Ya'arot Devash II 4:14,190
Ya'arot Devash II 4:15,191
Ya'arot Devash II 4:16,192
Ya'arot Devash II 4:17,193
Ya'arot Devash II 4:18,194
Ya'arot Devash II 4:19,195
Ya'arot Devash II 4:20,196
Ya'arot Devash II 4:21,197
Ya'arot Devash II 4:22,198
Ya'arot Devash II 4:23,199
Ya'arot Devash II 4:24,200
Ya'arot Devash II 4:25,201
Ya'arot Devash II 4:26,202
Ya'arot Devash II 4:27,203
Ya'arot Devash II 4:28,204
Ya'arot Devash II 4:29,205
Ya'arot Devash II 4:30,206
Ya'arot Devash II 4:31,207
Ya'arot Devash II 4:32,208
Ya'arot Devash II 4:33,209
Ya'arot Devash II 4:34,210
Ya'arot Devash II 4:35,211
Ya'arot Devash II 4:36,212
Ya'arot Devash II 4:37,213
Ya'arot Devash II 4:38,214
Ya'arot Devash II 4:39,215
Ya'arot Devash II 4:40,216
Ya'arot Devash II 4:41,217
Ya'arot Devash II 4:42,218
Ya'arot Devash II 4:43,219
Ya'arot Devash II 4:44,220
Ya'arot Devash II 4:45,221
Ya'arot Devash II 4:46,222
Ya'arot Devash II 4:47,223
Ya'arot Devash II 4:48,224
Ya'arot Devash II 4:49,225
Ya'arot Devash II 5:1,227
Ya'arot Devash II 5:2,228
Ya'arot Devash II 5:3,229
Ya'arot Devash II 5:4,230
Ya'arot Devash II 5:5,231
Ya'arot Devash II 5:6,232
Ya'arot Devash II 5:7,233
Ya'arot Devash II 5:8,234
Ya'arot Devash II 5:9,235
Ya'arot Devash II 5:10,236
Ya'arot Devash II 5:11,237
Ya'arot Devash II 5:12,238
Ya'arot Devash II 5:13,239
Ya'arot Devash II 5:14,240
Ya'arot Devash II 5:15,241
Ya'arot Devash II 5:16,242
Ya'arot Devash II 5:17,243
Ya'arot Devash II 5:18,244
Ya'arot Devash II 5:19,245
Ya'arot Devash II 5:20,246
Ya'arot Devash II 5:21,247
Ya'arot Devash II 5:22,248
