ref,line_index
Marot HaTzoveot on Joshua 1:1:1,5
Marot HaTzoveot on Joshua 1:1:2,6
Marot HaTzoveot on Joshua 1:2:1,8
Marot HaTzoveot on Joshua 1:3:1,10
Marot HaTzoveot on Joshua 1:5:1,12
Marot HaTzoveot on Joshua 1:6:1,14
Marot HaTzoveot on Joshua 1:7:1,16
Marot HaTzoveot on Joshua 1:8:1,18
Marot HaTzoveot on Joshua 1:9:1,20
Marot HaTzoveot on Joshua 1:10:1,22
Marot HaTzoveot on Joshua 1:11:1,24
Marot HaTzoveot on Joshua 1:12:1,26
Marot HaTzoveot on Joshua 1:13:1,28
Marot HaTzoveot on Joshua 1:16:1,30
Marot HaTzoveot on Joshua 2:1:1,33
Marot HaTzoveot on Joshua 2:1:2,34
Marot HaTzoveot on Joshua 2:1:3,35
Marot HaTzoveot on Joshua 2:2:1,37
Marot HaTzoveot on Joshua 2:4:1,39
Marot HaTzoveot on Joshua 2:5:1,41
Marot HaTzoveot on Joshua 2:6:1,43
Marot HaTzoveot on Joshua 2:7:1,45
Marot HaTzoveot on Joshua 2:9:1,47
Marot HaTzoveot on Joshua 2:10:1,49
Marot HaTzoveot on Joshua 2:12:1,51
Marot HaTzoveot on Joshua 2:13:1,53
Marot HaTzoveot on Joshua 2:14:1,55
Marot HaTzoveot on Joshua 2:15:1,57
Marot HaTzoveot on Joshua 2:22:1,59
Marot HaTzoveot on Joshua 2:24:1,61
Marot HaTzoveot on Joshua 3:1:1,64
Marot HaTzoveot on Joshua 3:5:1,66
Marot HaTzoveot on Joshua 3:5:2,67
Marot HaTzoveot on Joshua 3:6:1,69
Marot HaTzoveot on Joshua 3:6:2,70
Marot HaTzoveot on Joshua 3:7:1,72
Marot HaTzoveot on Joshua 3:8:1,74
Marot HaTzoveot on Joshua 3:11:1,76
Marot HaTzoveot on Joshua 3:11:2,77
Marot HaTzoveot on Joshua 3:14:1,79
Marot HaTzoveot on Joshua 3:15:1,81
Marot HaTzoveot on Joshua 3:16:1,83
Marot HaTzoveot on Joshua 4:1:1,86
Marot HaTzoveot on Joshua 4:1:2,87
Marot HaTzoveot on Joshua 4:1:3,88
Marot HaTzoveot on Joshua 4:3:1,90
Marot HaTzoveot on Joshua 4:4:1,92
Marot HaTzoveot on Joshua 4:5:1,94
Marot HaTzoveot on Joshua 4:6:1,96
Marot HaTzoveot on Joshua 4:6:2,97
Marot HaTzoveot on Joshua 4:11:1,99
Marot HaTzoveot on Joshua 4:15:1,101
Marot HaTzoveot on Joshua 4:20:1,103
Marot HaTzoveot on Joshua 4:20:2,104
Marot HaTzoveot on Joshua 4:20:3,105
Marot HaTzoveot on Joshua 4:23:1,107
Marot HaTzoveot on Joshua 4:23:2,108
Marot HaTzoveot on Joshua 5:2:1,111
Marot HaTzoveot on Joshua 5:2:2,112
Marot HaTzoveot on Joshua 5:2:3,113
Marot HaTzoveot on Joshua 5:3:1,115
Marot HaTzoveot on Joshua 5:4:1,117
Marot HaTzoveot on Joshua 5:5:1,119
Marot HaTzoveot on Joshua 5:6:1,121
Marot HaTzoveot on Joshua 5:9:1,123
Marot HaTzoveot on Joshua 5:9:2,124
Marot HaTzoveot on Joshua 5:11:1,126
Marot HaTzoveot on Joshua 5:12:1,128
Marot HaTzoveot on Joshua 5:13:1,130
Marot HaTzoveot on Joshua 5:13:2,131
Marot HaTzoveot on Joshua 5:13:3,132
Marot HaTzoveot on Joshua 5:13:4,133
Marot HaTzoveot on Joshua 6:3:1,136
Marot HaTzoveot on Joshua 6:3:2,137
Marot HaTzoveot on Joshua 6:4:1,139
Marot HaTzoveot on Joshua 6:6:1,141
Marot HaTzoveot on Joshua 6:8:1,143
Marot HaTzoveot on Joshua 6:18:1,145
Marot HaTzoveot on Joshua 6:18:2,146
Marot HaTzoveot on Joshua 6:20:1,148
Marot HaTzoveot on Joshua 6:20:2,149
Marot HaTzoveot on Joshua 6:22:1,151
Marot HaTzoveot on Joshua 6:22:2,152
Marot HaTzoveot on Joshua 7:5:1,155
Marot HaTzoveot on Joshua 7:7:1,157
Marot HaTzoveot on Joshua 7:7:2,158
Marot HaTzoveot on Joshua 7:7:3,159
Marot HaTzoveot on Joshua 7:10:1,161
Marot HaTzoveot on Joshua 7:19:1,163
Marot HaTzoveot on Joshua 7:19:2,164
Marot HaTzoveot on Joshua 7:19:3,165
Marot HaTzoveot on Joshua 7:25:1,167
Marot HaTzoveot on Joshua 8:9:1,170
Marot HaTzoveot on Joshua 8:9:2,171
Marot HaTzoveot on Joshua 8:9:3,172
Marot HaTzoveot on Joshua 8:10:1,174
Marot HaTzoveot on Joshua 8:12:1,176
Marot HaTzoveot on Joshua 8:18:1,178
Marot HaTzoveot on Joshua 9:1:1,181
Marot HaTzoveot on Joshua 9:2:1,183
Marot HaTzoveot on Joshua 9:2:2,184
Marot HaTzoveot on Joshua 9:3:1,186
Marot HaTzoveot on Joshua 9:3:2,187
Marot HaTzoveot on Joshua 9:4:1,189
Marot HaTzoveot on Joshua 9:6:1,191
Marot HaTzoveot on Joshua 9:8:1,193
Marot HaTzoveot on Joshua 9:8:2,194
Marot HaTzoveot on Joshua 9:15:1,196
Marot HaTzoveot on Joshua 9:15:2,197
Marot HaTzoveot on Joshua 9:15:3,198
Marot HaTzoveot on Joshua 9:19:1,200
Marot HaTzoveot on Joshua 9:19:2,201
Marot HaTzoveot on Joshua 10:12:1,204
