ref,line_index
Marot HaTzoveot on I Samuel 1:1:1,5
Marot HaTzoveot on I Samuel 1:2:1,7
Marot HaTzoveot on I Samuel 1:2:2,8
Marot HaTzoveot on I Samuel 1:3:1,10
Marot HaTzoveot on I Samuel 1:3:2,11
Marot HaTzoveot on I Samuel 1:8:1,13
Marot HaTzoveot on I Samuel 1:11:1,15
Marot HaTzoveot on I Samuel 1:11:2,16
Marot HaTzoveot on I Samuel 1:11:3,17
Marot HaTzoveot on I Samuel 1:12:1,19
Marot HaTzoveot on I Samuel 1:14:1,21
Marot HaTzoveot on I Samuel 1:15:1,23
Marot HaTzoveot on I Samuel 1:17:1,25
Marot HaTzoveot on I Samuel 1:17:2,26
Marot HaTzoveot on I Samuel 1:17:3,27
Marot HaTzoveot on I Samuel 1:17:4,28
Marot HaTzoveot on I Samuel 1:17:5,29
Marot HaTzoveot on I Samuel 1:18:1,31
Marot HaTzoveot on I Samuel 1:19:1,33
Marot HaTzoveot on I Samuel 1:22:1,35
Marot HaTzoveot on I Samuel 1:22:2,36
Marot HaTzoveot on I Samuel 1:24:1,38
Marot HaTzoveot on I Samuel 1:24:2,39
Marot HaTzoveot on I Samuel 2:1:1,42
Marot HaTzoveot on I Samuel 2:1:2,43
Marot HaTzoveot on I Samuel 2:3:1,45
Marot HaTzoveot on I Samuel 2:3:2,46
Marot HaTzoveot on I Samuel 2:4:1,48
Marot HaTzoveot on I Samuel 2:6:1,50
Marot HaTzoveot on I Samuel 2:8:1,52
Marot HaTzoveot on I Samuel 2:9:1,54
Marot HaTzoveot on I Samuel 2:10:1,56
Marot HaTzoveot on I Samuel 2:11:1,58
Marot HaTzoveot on I Samuel 2:11:2,59
Marot HaTzoveot on I Samuel 2:11:3,60
Marot HaTzoveot on I Samuel 2:11:4,61
Marot HaTzoveot on I Samuel 2:12:1,63
Marot HaTzoveot on I Samuel 2:13:1,65
Marot HaTzoveot on I Samuel 2:17:1,67
Marot HaTzoveot on I Samuel 2:18:1,69
Marot HaTzoveot on I Samuel 2:20:1,71
Marot HaTzoveot on I Samuel 2:20:2,72
Marot HaTzoveot on I Samuel 2:22:1,74
Marot HaTzoveot on I Samuel 2:22:2,75
Marot HaTzoveot on I Samuel 2:23:1,77
Marot HaTzoveot on I Samuel 2:24:1,79
Marot HaTzoveot on I Samuel 2:25:1,81
Marot HaTzoveot on I Samuel 2:25:2,82
Marot HaTzoveot on I Samuel 2:25:3,83
Marot HaTzoveot on I Samuel 2:26:1,85
Marot HaTzoveot on I Samuel 2:27:1,87
Marot HaTzoveot on I Samuel 2:28:1,89
Marot HaTzoveot on I Samuel 2:29:1,91
Marot HaTzoveot on I Samuel 2:29:2,92
Marot HaTzoveot on I Samuel 2:30:1,94
Marot HaTzoveot on I Samuel 2:31:1,96
Marot HaTzoveot on I Samuel 3:1:1,99
Marot HaTzoveot on I Samuel 3:8:1,101
Marot HaTzoveot on I Samuel 3:11:1,103
Marot HaTzoveot on I Samuel 3:19:1,105
Marot HaTzoveot on I Samuel 4:2:1,108
Marot HaTzoveot on I Samuel 4:3:1,110
Marot HaTzoveot on I Samuel 4:4:1,112
Marot HaTzoveot on I Samuel 4:8:1,114
Marot HaTzoveot on I Samuel 4:8:2,115
Marot HaTzoveot on I Samuel 4:13:1,117
Marot HaTzoveot on I Samuel 4:14:1,119
Marot HaTzoveot on I Samuel 4:19:1,121
Marot HaTzoveot on I Samuel 5:4:1,124
Marot HaTzoveot on I Samuel 5:5:1,126
Marot HaTzoveot on I Samuel 5:5:2,127
Marot HaTzoveot on I Samuel 6:2:1,130
Marot HaTzoveot on I Samuel 6:2:2,131
Marot HaTzoveot on I Samuel 6:5:1,133
Marot HaTzoveot on I Samuel 6:6:1,135
Marot HaTzoveot on I Samuel 6:13:1,137
Marot HaTzoveot on I Samuel 7:2:1,140
Marot HaTzoveot on I Samuel 7:12:1,142
Marot HaTzoveot on I Samuel 7:13:1,144
Marot HaTzoveot on I Samuel 8:2:1,147
Marot HaTzoveot on I Samuel 8:4:1,149
Marot HaTzoveot on I Samuel 8:4:2,150
Marot HaTzoveot on I Samuel 8:5:1,152
Marot HaTzoveot on I Samuel 8:19:1,154
