English,Hebrew
"jonathan-sacks, daniel-rose","יהונתן זקס, דניאל רוז"
zeev-wolf-rabinowitz,זאב וולף רבינוביץ'
david-zvi-hoffmann,דוד צבי הופמן
deena-zimmerman,דינה צימרמן
yehezkel-landau,יחזקאל לנדא
jonathan-sacks,יהונתן זקס
joseph-karo,יוסף קארו
david-halevi-segal,דוד הלוי סגל
yosef-patzanovski,יוסף פאצאנובסקי
saul-lieberman,שאול ליברמן
eliyahu-hakohen-haitamri,אליהו הכהן חיטמרי
nissim-of-gerona-(ran),"רבנו נסים מגירונה (ר""ן)"
yaakov-lorberbaum,יעקב לורברבוים
"susan-handelman, ora-wiskind-elper","סוזן הנדלמן, אורה ויסקנד-אלפר"
raavad,"ראב""ד"
simi-peters,סימי פיטרס
yehuda-ashlag,יהודה אשלג
aaron-berekhiah-of-modena,אהרן ברכיה ממודנה
maharam-of-padua,"מהר""ם מפאדובה"
yitzchak-isaac-chaver1,יצחק אייזיק חבר
ibn-ezra,אבן עזרא
jacob-landau,יעקב לנדאו
nachman-krochmal,נחמן קרוכמל
chaim-vital,חיים ויטאל
nathan-nota-spira,נתן נטע שפירא
aharon-halevi,אהרן הלוי
eliezer-foah,אליעזר פואה
moses-chaim-luzzatto-(ramchal),"משה חיים לוצאטו (רמח""ל)"
aryeh-leib-ginzburg,אריה לייב גינצבורג
abraham-saba,אברהם סבע
jacob-ben-isaac-ashkenazi,יעקב בן יצחק אשכנזי
yechiel-ben-yekutiel,יחיאל בן יקותיאל
menasseh-ben-israel,מנשה בן ישראל
ramban,"רמב""ן"
eliezer-berkovits,אליעזר ברקוביץ
joseph-ibn-migash,יוסף אבן מיגאש
rabbeinu-yonah-gerondi,רבנו יונה גירונדי
dov-baer-schneuri,דובער שניאורי
yitzchak-meir-rotenberg-alter,יצחק מאיר רוטנברג אלתר
akiva-eiger,עקיבא איגר
joseph-b-soloveitchik,יוסף דב סולובייצ'יק
naphtali-zevi-yehudah-berlin,נפתלי צבי יהודה ברלין
yitzchak-eizik-epstein,יצחק אייזיק אפשטיין
rosh,"רא""ש"
chaim-ibn-attar,חיים אבן עטר
menachem-meiri,מנחם המאירי
yaakov-ettlinger,יעקב עטלינגר
yissachar-eilenburg,יששכר איילנבורג
david-luria,דוד לוריא
shneur-zalman-of-liadi,שניאור זלמן מלאדי
yisrael-yaakov-ben-shmuel-chagiz,ישראל יעקב בן שמואל חגיז
zev-wolf-of-zhitomyr4,זאב וולף מז'יטומיר
sholom-mordechai-schwadron-(maharsham),"שלום מרדכי שבדרון (מהרש""ם)"
yehuda-leib-krinsky,יהודה לייב קרינסקי
aaron-halevi-horowitz,אהרן הלוי הורוביץ
hayyim-palache,חיים פלאג'י
solomon-sirilio,שלמה סיריליו
vilna-gaon,הגאון מווילנא
adin-steinsaltz,עדין שטיינזלץ
